,group,group_name,start,end,width,tx_id,exon_id,exon_rank,seq_start,seq_end,seq_name,seq_strand
36,36,NA,-1,-1,1,NA,NA,NA,120534353,120534354,chr12,+
37,37,NA,-1,-1,1,NA,NA,NA,124993652,124993653,chr12,+
38,38,NA,-1,-1,1,NA,NA,NA,51238784,51238785,chr12,+
39,39,NA,-1,-1,1,NA,NA,NA,57488041,57488042,chr12,+
40,40,NA,-1,-1,1,NA,NA,NA,69239571,69239572,chr12,+
41,41,NA,-1,-1,1,NA,NA,NA,101697657,101697658,chr12,+
42,42,NA,-1,-1,1,NA,NA,NA,111766923,111766924,chr12,+
43,43,NA,-1,-1,1,NA,NA,NA,122980232,122980233,chr12,+
44,44,NA,-1,-1,1,NA,NA,NA,132986419,132986420,chr12,+
45,45,NA,-1,-1,1,NA,NA,NA,133181494,133181495,chr12,+
46,46,NA,-1,-1,1,NA,NA,NA,27710800,27710801,chr12,+
47,47,NA,-1,-1,1,NA,NA,NA,68809023,68809024,chr12,+
48,48,NA,-1,-1,1,NA,NA,NA,132986413,132986414,chr12,+
49,49,NA,-1,-1,1,NA,NA,NA,88142306,88142307,chr12,+
50,50,NA,-1,-1,1,NA,NA,NA,77697690,77697691,chr13,+
51,51,NA,-1,-1,1,NA,NA,NA,31025651,31025652,chr14,+
52,52,NA,-1,-1,1,NA,NA,NA,105526602,105526603,chr14,+
53,53,NA,-1,-1,1,NA,NA,NA,91114072,91114073,chr14,+
54,54,NA,-1,-1,1,NA,NA,NA,22373676,22373677,chr15,+
55,55,NA,-1,-1,1,NA,NA,NA,41332870,41332871,chr15,+
56,56,NA,-1,-1,1,NA,NA,NA,65530452,65530453,chr15,+
57,57,NA,-1,-1,1,NA,NA,NA,73302649,73302650,chr15,+
58,58,NA,-1,-1,1,NA,NA,NA,48878091,48878092,chr15,+
59,59,NA,-1,-1,1,NA,NA,NA,88621319,88621320,chr15,+
60,60,NA,-1,-1,1,NA,NA,NA,1959517,1959518,chr16,+
61,61,NA,-1,-1,1,NA,NA,NA,3024026,3024027,chr16,+
62,62,NA,-1,-1,1,NA,NA,NA,56344178,56344179,chr16,+
63,63,NA,-1,-1,1,NA,NA,NA,57245125,57245126,chr16,+
64,64,NA,-1,-1,1,NA,NA,NA,67109942,67109943,chr16,+
65,65,NA,-1,-1,1,NA,NA,NA,67185475,67185476,chr16,+
66,66,NA,-1,-1,1,NA,NA,NA,8621697,8621698,chr16,+
67,67,NA,-1,-1,1,NA,NA,NA,11345434,11345435,chr16,+
68,68,NA,-1,-1,1,NA,NA,NA,21599582,21599583,chr16,+
69,69,NA,-1,-1,1,NA,NA,NA,25111744,25111745,chr16,+
70,70,NA,-1,-1,1,NA,NA,NA,539307,539308,chr16,+
71,71,NA,-1,-1,1,NA,NA,NA,87951433,87951434,chr16,+
72,72,NA,-1,-1,1,NA,NA,NA,17347148,17347149,chr17,+
73,73,NA,-1,-1,1,NA,NA,NA,19378497,19378498,chr17,+
74,74,NA,-1,-1,1,NA,NA,NA,19677055,19677056,chr17,+
75,75,NA,-1,-1,1,NA,NA,NA,29390347,29390348,chr17,+
76,76,NA,-1,-1,1,NA,NA,NA,50110129,50110130,chr17,+
77,77,NA,-1,-1,1,NA,NA,NA,75272081,75272082,chr17,+
78,78,NA,-1,-1,1,NA,NA,NA,75784807,75784808,chr17,+
79,79,NA,-1,-1,1,NA,NA,NA,78168570,78168571,chr17,+
80,80,NA,-1,-1,1,NA,NA,NA,50373228,50373229,chr17,+
81,81,NA,-1,-1,1,NA,NA,NA,59893116,59893117,chr17,+
82,82,NA,-1,-1,1,NA,NA,NA,12948010,12948011,chr18,+
83,83,NA,-1,-1,1,NA,NA,NA,34493300,34493301,chr18,+
84,84,NA,-1,-1,1,NA,NA,NA,12874297,12874298,chr19,+
85,85,NA,-1,-1,1,NA,NA,NA,14529568,14529569,chr19,+
86,86,NA,-1,-1,1,NA,NA,NA,14529585,14529586,chr19,+
87,87,NA,-1,-1,1,NA,NA,NA,18775985,18775986,chr19,+
88,88,NA,-1,-1,1,NA,NA,NA,2270917,2270918,chr19,+
89,89,NA,-1,-1,1,NA,NA,NA,34254580,34254581,chr19,+
90,90,NA,-1,-1,1,NA,NA,NA,35612754,35612755,chr19,+
91,91,NA,-1,-1,1,NA,NA,NA,41310171,41310172,chr19,+
92,92,NA,-1,-1,1,NA,NA,NA,45995466,45995467,chr19,+
93,93,NA,-1,-1,1,NA,NA,NA,46788467,46788468,chr19,+
94,94,NA,-1,-1,1,NA,NA,NA,54200809,54200810,chr19,+
95,95,NA,-1,-1,1,NA,NA,NA,55339875,55339876,chr19,+
96,96,NA,-1,-1,1,NA,NA,NA,58475319,58475320,chr19,+
97,97,NA,-1,-1,1,NA,NA,NA,12945829,12945830,chr19,+
98,98,NA,-1,-1,1,NA,NA,NA,12945844,12945845,chr19,+
99,99,NA,-1,-1,1,NA,NA,NA,13912320,13912321,chr19,+
100,100,NA,-1,-1,1,NA,NA,NA,18386157,18386158,chr19,+
101,101,NA,-1,-1,1,NA,NA,NA,37907207,37907208,chr19,+
102,102,NA,-1,-1,1,NA,NA,NA,44926765,44926766,chr19,+
103,103,NA,-1,-1,1,NA,NA,NA,47256524,47256525,chr19,+
104,104,NA,-1,-1,1,NA,NA,NA,49149920,49149921,chr19,+
105,105,NA,-1,-1,1,NA,NA,NA,8209369,8209370,chr19,+
106,106,NA,-1,-1,1,NA,NA,NA,54200801,54200802,chr19,+
107,107,NA,-1,-1,1,NA,NA,NA,169827453,169827454,chr2,+
108,108,NA,-1,-1,1,NA,NA,NA,216498796,216498797,chr2,+
109,109,NA,-1,-1,1,NA,NA,NA,237967013,237967014,chr2,+
110,110,NA,-1,-1,1,NA,NA,NA,28894664,28894665,chr2,+
111,111,NA,-1,-1,1,NA,NA,NA,61145115,61145116,chr2,+
112,112,NA,-1,-1,1,NA,NA,NA,74198585,74198586,chr2,+
113,113,NA,-1,-1,1,NA,NA,NA,213284436,213284437,chr2,+
114,114,NA,-1,-1,1,NA,NA,NA,178523212,178523213,chr2,+
115,115,NA,-1,-1,1,NA,NA,NA,227325250,227325251,chr2,+
116,116,NA,-1,-1,1,NA,NA,NA,237085881,237085882,chr2,+
117,117,NA,-1,-1,1,NA,NA,NA,35172071,35172072,chr20,+
118,118,NA,-1,-1,1,NA,NA,NA,59940431,59940432,chr20,+
119,119,NA,-1,-1,1,NA,NA,NA,33543037,33543038,chr21,+
120,120,NA,-1,-1,1,NA,NA,NA,46567818,46567819,chr21,+
121,121,NA,-1,-1,1,NA,NA,NA,22322913,22322914,chr22,+
122,122,NA,-1,-1,1,NA,NA,NA,31080655,31080656,chr22,+
123,123,NA,-1,-1,1,NA,NA,NA,37609039,37609040,chr22,+
124,124,NA,-1,-1,1,NA,NA,NA,38656637,38656638,chr22,+
125,125,NA,-1,-1,1,NA,NA,NA,20703446,20703447,chr22,+
126,126,NA,-1,-1,1,NA,NA,NA,24011420,24011421,chr22,+
127,127,NA,-1,-1,1,NA,NA,NA,10012659,10012660,chr3,+
128,128,NA,-1,-1,1,NA,NA,NA,129905745,129905746,chr3,+
129,129,NA,-1,-1,1,NA,NA,NA,123067024,123067025,chr3,+
130,130,NA,-1,-1,1,NA,NA,NA,32685187,32685188,chr3,+
131,131,NA,-1,-1,1,NA,NA,NA,50569521,50569522,chr3,+
132,132,NA,-1,-1,1,NA,NA,NA,51385256,51385257,chr3,+
133,133,NA,-1,-1,1,NA,NA,NA,52287827,52287828,chr3,+
134,134,NA,-1,-1,1,NA,NA,NA,52536595,52536596,chr3,+
135,135,NA,-1,-1,1,NA,NA,NA,71753707,71753708,chr3,+
136,136,NA,-1,-1,1,NA,NA,NA,9649461,9649462,chr3,+
137,137,NA,-1,-1,1,NA,NA,NA,102868991,102868992,chr4,+
138,138,NA,-1,-1,1,NA,NA,NA,11368601,11368602,chr4,+
139,139,NA,-1,-1,1,NA,NA,NA,119212712,119212713,chr4,+
140,140,NA,-1,-1,1,NA,NA,NA,127880915,127880916,chr4,+
141,141,NA,-1,-1,1,NA,NA,NA,127517639,127517640,chr5,+
142,142,NA,-1,-1,1,NA,NA,NA,140401832,140401833,chr5,+
143,143,NA,-1,-1,1,NA,NA,NA,33440970,33440971,chr5,+
144,144,NA,-1,-1,1,NA,NA,NA,36152094,36152095,chr5,+
145,145,NA,-1,-1,1,NA,NA,NA,70049643,70049644,chr5,+
146,146,NA,-1,-1,1,NA,NA,NA,140564442,140564443,chr5,+
147,147,NA,-1,-1,1,NA,NA,NA,70049637,70049638,chr5,+
148,148,NA,-1,-1,1,NA,NA,NA,14581840,14581841,chr5,+
149,149,NA,-1,-1,1,NA,NA,NA,11093819,11093820,chr6,+
150,150,NA,-1,-1,1,NA,NA,NA,33272065,33272066,chr6,+
151,151,NA,-1,-1,1,NA,NA,NA,37433206,37433207,chr6,+
152,152,NA,-1,-1,1,NA,NA,NA,7590220,7590221,chr6,+
153,153,NA,-1,-1,1,NA,NA,NA,110958639,110958640,chr6,+
154,154,NA,-1,-1,1,NA,NA,NA,110982047,110982048,chr6,+
155,155,NA,-1,-1,1,NA,NA,NA,125153744,125153745,chr6,+
156,156,NA,-1,-1,1,NA,NA,NA,26457954,26457955,chr6,+
157,157,NA,-1,-1,1,NA,NA,NA,57172325,57172326,chr6,+
158,158,NA,-1,-1,1,NA,NA,NA,106629577,106629578,chr6,+
159,159,NA,-1,-1,1,NA,NA,NA,127652147,127652148,chr7,+
160,160,NA,-1,-1,1,NA,NA,NA,43056322,43056323,chr8,+
161,161,NA,-1,-1,1,NA,NA,NA,52714239,52714240,chr8,+
162,162,NA,-1,-1,1,NA,NA,NA,406957,406958,chr8,+
163,163,NA,-1,-1,1,NA,NA,NA,9555913,9555914,chr8,+
164,164,NA,-1,-1,1,NA,NA,NA,11808467,11808468,chr8,+
165,165,NA,-1,-1,1,NA,NA,NA,123103292,123103293,chr9,+
166,166,NA,-1,-1,1,NA,NA,NA,33025212,33025213,chr9,+
167,167,NA,-1,-1,1,NA,NA,NA,2788059,2788060,chr17_KI270857v1_alt,+
168,168,NA,-1,-1,1,NA,NA,NA,2788062,2788063,chr17_KI270857v1_alt,+
169,169,NA,-1,-1,1,NA,NA,NA,23324,23325,chr22_KI270879v1_alt,+
170,170,NA,-1,-1,1,NA,NA,NA,2051165,2051166,chr6_GL000251v2_alt,+
171,171,NA,-1,-1,1,NA,NA,NA,1198034,1198035,chr6_GL000252v2_alt,+
172,172,NA,-1,-1,1,NA,NA,NA,4533118,4533119,chr6_GL000252v2_alt,+
173,173,NA,-1,-1,1,NA,NA,NA,2965363,2965364,chr6_GL000256v2_alt,+
174,174,NA,-1,-1,1,NA,NA,NA,54808345,54808346,chrX,+
175,175,NA,-1,-1,1,NA,NA,NA,72262878,72262879,chrX,+
176,176,NA,-1,-1,1,NA,NA,NA,152698769,152698770,chrX,+
177,177,NA,-1,-1,1,NA,NA,NA,106611974,106611975,chrX,+
178,178,NA,-1,-1,1,NA,NA,NA,104112542,104112543,chrX,+
179,179,NA,-1,-1,1,NA,NA,NA,113766190,113766191,chr1,-
180,180,NA,-1,-1,1,NA,NA,NA,160343276,160343277,chr1,-
181,181,NA,-1,-1,1,NA,NA,NA,246507296,246507297,chr1,-
182,182,NA,-1,-1,1,NA,NA,NA,53945698,53945699,chr1,-
183,183,NA,-1,-1,1,NA,NA,NA,112619140,112619141,chr1,-
184,184,NA,-1,-1,1,NA,NA,NA,112956244,112956245,chr1,-
185,185,NA,-1,-1,1,NA,NA,NA,147084755,147084756,chr1,-
186,186,NA,-1,-1,1,NA,NA,NA,150010733,150010734,chr1,-
187,187,NA,-1,-1,1,NA,NA,NA,24605659,24605660,chr1,-
188,188,NA,-1,-1,1,NA,NA,NA,27155124,27155125,chr1,-
189,189,NA,-1,-1,1,NA,NA,NA,70301302,70301303,chr10,-
190,190,NA,-1,-1,1,NA,NA,NA,97498414,97498415,chr10,-
191,191,NA,-1,-1,1,NA,NA,NA,777501,777502,chr11,-
192,192,NA,-1,-1,1,NA,NA,NA,34916377,34916378,chr11,-
193,193,NA,-1,-1,1,NA,NA,NA,47579003,47579004,chr11,-
194,194,NA,-1,-1,1,NA,NA,NA,14359182,14359183,chr11,-
195,195,NA,-1,-1,1,NA,NA,NA,107093548,107093549,chr12,-
196,196,NA,-1,-1,1,NA,NA,NA,56333987,56333988,chr12,-
197,197,NA,-1,-1,1,NA,NA,NA,45990572,45990573,chr12,-
198,198,NA,-1,-1,1,NA,NA,NA,29850616,29850617,chr13,-
199,199,NA,-1,-1,1,NA,NA,NA,20773955,20773956,chr13,-
200,200,NA,-1,-1,1,NA,NA,NA,20773960,20773961,chr13,-
201,201,NA,-1,-1,1,NA,NA,NA,27171810,27171811,chr13,-
202,202,NA,-1,-1,1,NA,NA,NA,21511268,21511269,chr14,-
203,203,NA,-1,-1,1,NA,NA,NA,21511297,21511298,chr14,-
204,204,NA,-1,-1,1,NA,NA,NA,89954729,89954730,chr14,-
205,205,NA,-1,-1,1,NA,NA,NA,42737118,42737119,chr15,-
206,206,NA,-1,-1,1,NA,NA,NA,72231261,72231262,chr15,-
207,207,NA,-1,-1,1,NA,NA,NA,51971773,51971774,chr15,-
208,208,NA,-1,-1,1,NA,NA,NA,28291936,28291937,chr16,-
209,209,NA,-1,-1,1,NA,NA,NA,30917792,30917793,chr16,-
210,210,NA,-1,-1,1,NA,NA,NA,30919783,30919784,chr16,-
211,211,NA,-1,-1,1,NA,NA,NA,30922778,30922779,chr16,-
212,212,NA,-1,-1,1,NA,NA,NA,67833896,67833897,chr16,-
213,213,NA,-1,-1,1,NA,NA,NA,82170223,82170224,chr16,-
214,214,NA,-1,-1,1,NA,NA,NA,67833925,67833926,chr16,-
215,215,NA,-1,-1,1,NA,NA,NA,89200953,89200954,chr16,-
216,216,NA,-1,-1,1,NA,NA,NA,11915964,11915965,chr16,-
217,217,NA,-1,-1,1,NA,NA,NA,25107083,25107084,chr16,-
218,218,NA,-1,-1,1,NA,NA,NA,29613724,29613725,chr16,-
219,219,NA,-1,-1,1,NA,NA,NA,90019854,90019855,chr16,-
220,220,NA,-1,-1,1,NA,NA,NA,71809105,71809106,chr16,-
221,221,NA,-1,-1,1,NA,NA,NA,6996818,6996819,chr17,-
222,222,NA,-1,-1,1,NA,NA,NA,80035871,80035872,chr17,-
223,223,NA,-1,-1,1,NA,NA,NA,82152753,82152754,chr17,-
224,224,NA,-1,-1,1,NA,NA,NA,4263976,4263977,chr17,-
225,225,NA,-1,-1,1,NA,NA,NA,7241843,7241844,chr17,-
226,226,NA,-1,-1,1,NA,NA,NA,7241847,7241848,chr17,-
227,227,NA,-1,-1,1,NA,NA,NA,7614894,7614895,chr17,-
228,228,NA,-1,-1,1,NA,NA,NA,37643445,37643446,chr17,-
229,229,NA,-1,-1,1,NA,NA,NA,268044,268045,chr18,-
230,230,NA,-1,-1,1,NA,NA,NA,11908314,11908315,chr18,-
231,231,NA,-1,-1,1,NA,NA,NA,12775551,12775552,chr19,-
232,232,NA,-1,-1,1,NA,NA,NA,39532830,39532831,chr19,-
233,233,NA,-1,-1,1,NA,NA,NA,4182562,4182563,chr19,-
234,234,NA,-1,-1,1,NA,NA,NA,913218,913219,chr19,-
235,235,NA,-1,-1,1,NA,NA,NA,14419384,14419385,chr19,-
236,236,NA,-1,-1,1,NA,NA,NA,4400546,4400547,chr19,-
237,237,NA,-1,-1,1,NA,NA,NA,54189579,54189580,chr19,-
238,238,NA,-1,-1,1,NA,NA,NA,47231197,47231198,chr19,-
239,239,NA,-1,-1,1,NA,NA,NA,201642669,201642670,chr2,-
240,240,NA,-1,-1,1,NA,NA,NA,208121748,208121749,chr2,-
241,241,NA,-1,-1,1,NA,NA,NA,43596037,43596038,chr2,-
242,242,NA,-1,-1,1,NA,NA,NA,136118148,136118149,chr2,-
243,243,NA,-1,-1,1,NA,NA,NA,241315701,241315702,chr2,-
244,244,NA,-1,-1,1,NA,NA,NA,35092834,35092835,chr20,-
245,245,NA,-1,-1,1,NA,NA,NA,41767078,41767079,chr21,-
246,246,NA,-1,-1,1,NA,NA,NA,18577961,18577962,chr22,-
247,247,NA,-1,-1,1,NA,NA,NA,21982812,21982813,chr22,-
248,248,NA,-1,-1,1,NA,NA,NA,29388569,29388570,chr22,-
249,249,NA,-1,-1,1,NA,NA,NA,29553756,29553757,chr22,-
250,250,NA,-1,-1,1,NA,NA,NA,38398491,38398492,chr22,-
251,251,NA,-1,-1,1,NA,NA,NA,134371248,134371249,chr3,-
252,252,NA,-1,-1,1,NA,NA,NA,14948376,14948377,chr3,-
253,253,NA,-1,-1,1,NA,NA,NA,170181732,170181733,chr3,-
254,254,NA,-1,-1,1,NA,NA,NA,182945011,182945012,chr3,-
255,255,NA,-1,-1,1,NA,NA,NA,47475936,47475937,chr3,-
256,256,NA,-1,-1,1,NA,NA,NA,8963461,8963462,chr3,-
257,257,NA,-1,-1,1,NA,NA,NA,8963469,8963470,chr3,-
258,258,NA,-1,-1,1,NA,NA,NA,32570857,32570858,chr3,-
259,259,NA,-1,-1,1,NA,NA,NA,45995823,45995824,chr3,-
260,260,NA,-1,-1,1,NA,NA,NA,50337449,50337450,chr3,-
261,261,NA,-1,-1,1,NA,NA,NA,66501021,66501022,chr3,-
262,262,NA,-1,-1,1,NA,NA,NA,139280224,139280225,chr4,-
263,263,NA,-1,-1,1,NA,NA,NA,165112859,165112860,chr4,-
264,264,NA,-1,-1,1,NA,NA,NA,184734088,184734089,chr4,-
265,265,NA,-1,-1,1,NA,NA,NA,184734095,184734096,chr4,-
266,266,NA,-1,-1,1,NA,NA,NA,56435611,56435612,chr4,-
267,267,NA,-1,-1,1,NA,NA,NA,75990944,75990945,chr4,-
268,268,NA,-1,-1,1,NA,NA,NA,139280232,139280233,chr4,-
269,269,NA,-1,-1,1,NA,NA,NA,139301232,139301233,chr4,-
270,270,NA,-1,-1,1,NA,NA,NA,2262140,2262141,chr4,-
271,271,NA,-1,-1,1,NA,NA,NA,56435614,56435615,chr4,-
272,272,NA,-1,-1,1,NA,NA,NA,140303112,140303113,chr5,-
273,273,NA,-1,-1,1,NA,NA,NA,36876148,36876149,chr5,-
274,274,NA,-1,-1,1,NA,NA,NA,55231522,55231523,chr5,-
275,275,NA,-1,-1,1,NA,NA,NA,88268844,88268845,chr5,-
276,276,NA,-1,-1,1,NA,NA,NA,131063244,131063245,chr6,-
277,277,NA,-1,-1,1,NA,NA,NA,149648713,149648714,chr6,-
278,278,NA,-1,-1,1,NA,NA,NA,35688914,35688915,chr6,-
279,279,NA,-1,-1,1,NA,NA,NA,144095633,144095634,chr6,-
280,280,NA,-1,-1,1,NA,NA,NA,41921136,41921137,chr6,-
281,281,NA,-1,-1,1,NA,NA,NA,44101049,44101050,chr6,-
282,282,NA,-1,-1,1,NA,NA,NA,85643316,85643317,chr6,-
283,283,NA,-1,-1,1,NA,NA,NA,87220561,87220562,chr7,-
284,284,NA,-1,-1,1,NA,NA,NA,140457743,140457744,chr8,-
285,285,NA,-1,-1,1,NA,NA,NA,124539083,124539084,chr8,-
286,286,NA,-1,-1,1,NA,NA,NA,65634176,65634177,chr8,-
287,287,NA,-1,-1,1,NA,NA,NA,15510969,15510970,chr9,-
288,288,NA,-1,-1,1,NA,NA,NA,67616176,67616177,chr9,-
289,289,NA,-1,-1,1,NA,NA,NA,4741226,4741227,chr9,-
290,290,NA,-1,-1,1,NA,NA,NA,189569,189570,chr6_GL000250v2_alt,-
291,291,NA,-1,-1,1,NA,NA,NA,2837570,2837571,chr6_GL000251v2_alt,-
292,292,NA,-1,-1,1,NA,NA,NA,104130619,104130620,chrX,-
293,293,NA,-1,-1,1,NA,NA,NA,152767055,152767056,chrX,-
294,294,NA,-1,-1,1,NA,NA,NA,152767075,152767076,chrX,-
295,295,NA,-1,-1,1,NA,NA,NA,152767393,152767394,chrX,-
296,296,NA,-1,-1,1,NA,NA,NA,152767423,152767424,chrX,-
297,297,NA,-1,-1,1,NA,NA,NA,152767453,152767454,chrX,-
298,298,NA,-1,-1,1,NA,NA,NA,132219446,132219447,chrX,-
299,299,NA,-1,-1,1,NA,NA,NA,24025288,24025289,chrX,-
300,300,NA,-1,-1,1,NA,NA,NA,37847570,37847571,chrX,-
301,301,NA,-1,-1,1,NA,NA,NA,119711864,119711865,chr1,+
302,302,NA,-1,-1,1,NA,NA,NA,244056678,244056679,chr1,+
303,303,NA,-1,-1,1,NA,NA,NA,15617457,15617458,chr1,+
304,304,NA,-1,-1,1,NA,NA,NA,119711868,119711869,chr1,+
305,305,NA,-1,-1,1,NA,NA,NA,153728072,153728073,chr1,+
306,306,NA,-1,-1,1,NA,NA,NA,15684292,15684293,chr1,+
307,307,NA,-1,-1,1,NA,NA,NA,32445330,32445331,chr1,+
308,308,NA,-1,-1,1,NA,NA,NA,42456532,42456533,chr1,+
309,309,NA,-1,-1,1,NA,NA,NA,22025501,22025502,chr1,+
310,310,NA,-1,-1,1,NA,NA,NA,100912962,100912963,chr10,+
311,311,NA,-1,-1,1,NA,NA,NA,69630246,69630247,chr10,+
312,312,NA,-1,-1,1,NA,NA,NA,71964235,71964236,chr10,+
313,313,NA,-1,-1,1,NA,NA,NA,85647966,85647967,chr11,+
314,314,NA,-1,-1,1,NA,NA,NA,120236637,120236638,chr11,+
315,315,NA,-1,-1,1,NA,NA,NA,46936729,46936730,chr11,+
316,316,NA,-1,-1,1,NA,NA,NA,70203266,70203267,chr11,+
317,317,NA,-1,-1,1,NA,NA,NA,122752820,122752821,chr12,+
318,318,NA,-1,-1,1,NA,NA,NA,12813345,12813346,chr12,+
319,319,NA,-1,-1,1,NA,NA,NA,13044382,13044383,chr12,+
320,320,NA,-1,-1,1,NA,NA,NA,55716044,55716045,chr12,+
321,321,NA,-1,-1,1,NA,NA,NA,68808173,68808174,chr12,+
322,322,NA,-1,-1,1,NA,NA,NA,132084284,132084285,chr12,+
323,323,NA,-1,-1,1,NA,NA,NA,21501788,21501789,chr12,+
324,324,NA,-1,-1,1,NA,NA,NA,45464914,45464915,chr13,+
325,325,NA,-1,-1,1,NA,NA,NA,108218510,108218511,chr13,+
326,326,NA,-1,-1,1,NA,NA,NA,57390585,57390586,chr14,+
327,327,NA,-1,-1,1,NA,NA,NA,22308723,22308724,chr14,+
328,328,NA,-1,-1,1,NA,NA,NA,75002893,75002894,chr14,+
329,329,NA,-1,-1,1,NA,NA,NA,99971421,99971422,chr14,+
330,330,NA,-1,-1,1,NA,NA,NA,38454126,38454127,chr15,+
331,331,NA,-1,-1,1,NA,NA,NA,38454130,38454131,chr15,+
332,332,NA,-1,-1,1,NA,NA,NA,40569298,40569299,chr15,+
333,333,NA,-1,-1,1,NA,NA,NA,43826992,43826993,chr15,+
334,334,NA,-1,-1,1,NA,NA,NA,75336034,75336035,chr15,+
335,335,NA,-1,-1,1,NA,NA,NA,73684214,73684215,chr15,+
336,336,NA,-1,-1,1,NA,NA,NA,3112585,3112586,chr16,+
337,337,NA,-1,-1,1,NA,NA,NA,4693699,4693700,chr16,+
338,338,NA,-1,-1,1,NA,NA,NA,69565965,69565966,chr16,+
339,339,NA,-1,-1,1,NA,NA,NA,72008749,72008750,chr16,+
340,340,NA,-1,-1,1,NA,NA,NA,30193874,30193875,chr16,+
341,341,NA,-1,-1,1,NA,NA,NA,21126938,21126939,chr17,+
342,342,NA,-1,-1,1,NA,NA,NA,80339570,80339571,chr17,+
343,343,NA,-1,-1,1,NA,NA,NA,14301082,14301083,chr17,+
344,344,NA,-1,-1,1,NA,NA,NA,2303955,2303956,chr17,+
345,345,NA,-1,-1,1,NA,NA,NA,42562125,42562126,chr17,+
346,346,NA,-1,-1,1,NA,NA,NA,63600881,63600882,chr17,+
347,347,NA,-1,-1,1,NA,NA,NA,34493308,34493309,chr18,+
348,348,NA,-1,-1,1,NA,NA,NA,34493311,34493312,chr18,+
349,349,NA,-1,-1,1,NA,NA,NA,75210796,75210797,chr18,+
350,350,NA,-1,-1,1,NA,NA,NA,5623082,5623083,chr19,+
351,351,NA,-1,-1,1,NA,NA,NA,171922434,171922435,chr2,+
352,352,NA,-1,-1,1,NA,NA,NA,211257654,211257655,chr2,+
353,353,NA,-1,-1,1,NA,NA,NA,37084535,37084536,chr2,+
354,354,NA,-1,-1,1,NA,NA,NA,238848042,238848043,chr2,+
355,355,NA,-1,-1,1,NA,NA,NA,26764257,26764258,chr2,+
356,356,NA,-1,-1,1,NA,NA,NA,67397339,67397340,chr2,+
357,357,NA,-1,-1,1,NA,NA,NA,73828958,73828959,chr2,+
358,358,NA,-1,-1,1,NA,NA,NA,67397332,67397333,chr2,+
359,359,NA,-1,-1,1,NA,NA,NA,34363272,34363273,chr20,+
360,360,NA,-1,-1,1,NA,NA,NA,50510362,50510363,chr20,+
361,361,NA,-1,-1,1,NA,NA,NA,35772016,35772017,chr20,+
362,362,NA,-1,-1,1,NA,NA,NA,33266366,33266367,chr21,+
363,363,NA,-1,-1,1,NA,NA,NA,25448104,25448105,chr22,+
