chr	start	end	strand	label	gene_id	genomic_position	HCT116_model	n_reads	HEK293T_model	Arabidopsis_model
ENST00000361227	247	248	.	0	ENSG00000198840	10306	0.0077305436	890	0.07067083	0.044869196
ENST00000361227	317	318	.	0	ENSG00000198840	10376	0.1012102	807	0.25937834	0.0065190196
ENST00000361227	334	335	.	0	ENSG00000198840	10393	0.2558341	746	0.31647423	0.0016675591
ENST00000361227	339	340	.	0	ENSG00000198840	10398	0.20671558	641	0.13763353	0.006814587
ENST00000361567	21	22	.	0	ENSG00000198786	12358	0.026204336	273	0.3030097	0.116276585
ENST00000361567	30	31	.	0	ENSG00000198786	12367	0.05324433	448	0.20918329	0.027045596
ENST00000361567	73	74	.	0	ENSG00000198786	12410	0.11706506	541	0.12329711	0.37007624
ENST00000361567	79	80	.	0	ENSG00000198786	12416	0.00074584485	560	0.11730786	0.0057200072
ENST00000361567	88	89	.	0	ENSG00000198786	12425	0.19673389	546	0.20706072	0.09830161
ENST00000361567	172	173	.	0	ENSG00000198786	12509	0.068681	578	0.10351372	0.018385028
ENST00000361567	193	194	.	0	ENSG00000198786	12530	0.76979494	600	0.79196733	0.4633619
ENST00000361567	197	198	.	0	ENSG00000198786	12534	0.13924593	567	0.24274452	0.012652719
ENST00000361567	216	217	.	0	ENSG00000198786	12553	0.048526812	597	0.14637616	0.19124977
ENST00000361567	242	243	.	0	ENSG00000198786	12579	0.023575092	600	0.20543852	0.14191286
ENST00000361567	247	248	.	0	ENSG00000198786	12584	0.14462957	585	0.27119067	0.09041704
ENST00000361567	325	326	.	0	ENSG00000198786	12662	0.030254995	585	0.2565198	0.24681862
ENST00000361567	331	332	.	0	ENSG00000198786	12668	0.21222487	558	0.0987315	0.032910146
ENST00000361567	337	338	.	0	ENSG00000198786	12674	0.05039855	628	0.0985799	0.039686978
ENST00000361567	403	404	.	0	ENSG00000198786	12740	0.0005024314	653	0.0859188	0.012851154
ENST00000361567	589	590	.	0	ENSG00000198786	12926	0.050106086	593	0.09374958	0.024591004
ENST00000361567	695	696	.	0	ENSG00000198786	13032	0.3297069	662	0.50418174	0.09063335
ENST00000361567	822	823	.	0	ENSG00000198786	13159	0.03348576	700	0.29533464	0.09757396
ENST00000361567	828	829	.	0	ENSG00000198786	13165	0.021617126	721	0.09853061	0.0005815506
ENST00000361567	889	890	.	0	ENSG00000198786	13226	0.053061903	687	0.24470992	0.28518072
ENST00000361567	932	933	.	0	ENSG00000198786	13269	0.13591488	768	0.2564684	0.013878167
ENST00000361567	1051	1052	.	0	ENSG00000198786	13388	0.0014264822	820	0.08521702	0.026533866
ENST00000361567	1058	1059	.	0	ENSG00000198786	13395	0.12562057	789	0.31506434	0.0011486411
ENST00000361567	1082	1083	.	0	ENSG00000198786	13419	0.17600526	732	0.33995566	0.14436814
ENST00000361567	1092	1093	.	0	ENSG00000198786	13429	0.01851648	792	0.061333396	0.0894511
ENST00000361567	1177	1178	.	0	ENSG00000198786	13514	0.17156744	639	0.2084959	0.10896312
ENST00000361567	1191	1192	.	0	ENSG00000198786	13528	0.016960323	774	0.084748745	0.012652934
ENST00000361567	1198	1199	.	0	ENSG00000198786	13535	0.04439037	794	0.0928368	0.0852712
ENST00000361567	1254	1255	.	0	ENSG00000198786	13591	0.08059341	615	0.23155418	0.11005406
ENST00000361567	1293	1294	.	0	ENSG00000198786	13630	0.0492082	688	0.4047598	0.04442053
ENST00000361567	1324	1325	.	0	ENSG00000198786	13661	0.0049280166	824	0.120178424	0.03105539
ENST00000361567	1339	1340	.	0	ENSG00000198786	13676	0.07551614	788	0.19705312	0.2395503
ENST00000361567	1354	1355	.	0	ENSG00000198786	13691	0.032848764	761	0.12802267	0.11212222
ENST00000361567	1408	1409	.	0	ENSG00000198786	13745	0.0016619563	798	0.14936432	0.026108766
ENST00000361567	1437	1438	.	0	ENSG00000198786	13774	0.058557533	805	0.0986861	0.12943363
ENST00000361567	1460	1461	.	0	ENSG00000198786	13797	0.23934956	783	0.13533798	0.15655838
ENST00000361567	1490	1491	.	0	ENSG00000198786	13827	0.36632478	798	0.24286774	0.10930379
ENST00000361567	1497	1498	.	0	ENSG00000198786	13834	0.015420044	618	0.53817785	0.27449673
ENST00000361567	1507	1508	.	0	ENSG00000198786	13844	0.05998484	769	0.1198409	0.10360142
ENST00000361567	1521	1522	.	0	ENSG00000198786	13858	0.0073522567	772	0.079896614	0.057310738
ENST00000361567	1529	1530	.	0	ENSG00000198786	13866	0.13633877	704	0.4127589	0.40185642
ENST00000361567	1639	1640	.	0	ENSG00000198786	13976	0.018612992	693	0.1424559	0.14951836
ENST00000361567	1660	1661	.	0	ENSG00000198786	13997	0.13362725	590	0.1427646	0.0036120892
ENST00000361567	1665	1666	.	0	ENSG00000198786	14002	0.012890184	738	0.07000841	0.0018860816
ENST00000361567	1670	1671	.	0	ENSG00000198786	14007	0.46357137	726	0.39402866	0.2108792
ENST00000361567	1692	1693	.	0	ENSG00000198786	14029	0.023440206	739	0.093800664	0.21003585
ENST00000361567	1754	1755	.	0	ENSG00000198786	14091	0.05389283	726	0.21090719	0.063423
ENST00000361567	1791	1792	.	0	ENSG00000198786	14128	0.036578678	646	0.1813271	0.0031807781
ENST00000394308	105	106	.	0	ENSG00000070669	97872366	0.3107956	22	0.21246178	0.23022056
ENST00000394308	340	341	.	0	ENSG00000070669	97868996	0.08771843	26	0.093512855	0.14000602
ENST00000394308	459	460	.	0	ENSG00000070669	97864466	0.109039746	25	0.091870986	0.011550093
ENST00000394308	496	497	.	0	ENSG00000070669	97864429	0.035833407	26	0.27200776	0.23816696
ENST00000394308	516	517	.	0	ENSG00000070669	97864409	0.05288137	28	0.11681564	0.19851783
ENST00000394308	608	609	.	0	ENSG00000070669	97864317	0.32105422	26	0.28051323	0.5182826
ENST00000394308	627	628	.	0	ENSG00000070669	97864298	0.0011211872	20	0.1700935	0.105510935
ENST00000394308	829	830	.	0	ENSG00000070669	97859236	0.0024666905	27	0.17595915	0.05322355
ENST00000394308	842	843	.	0	ENSG00000070669	97859223	0.15075034	26	0.22671798	0.29308844
ENST00000394308	867	868	.	0	ENSG00000070669	97858941	0.28102496	25	0.40925962	0.11038922
ENST00000394308	877	878	.	0	ENSG00000070669	97858931	0.057907533	25	0.37670916	0.033260107
ENST00000394308	924	925	.	0	ENSG00000070669	97858884	0.068644	27	0.20724335	0.84886014
ENST00000394308	928	929	.	0	ENSG00000070669	97858880	0.033144653	23	0.14128172	0.0075380327
ENST00000394308	964	965	.	0	ENSG00000070669	97858396	0.4441666	26	0.31238034	0.003848672
ENST00000394308	1032	1033	.	0	ENSG00000070669	97858328	0.019596672	25	0.10176842	0.011110115
ENST00000394308	1054	1055	.	0	ENSG00000070669	97858306	0.6575192	23	0.7238827	0.60379225
ENST00000394308	1106	1107	.	0	ENSG00000070669	97856793	0.16948667	29	0.476813	0.0066895364
ENST00000394308	1126	1127	.	0	ENSG00000070669	97856773	0.021467399	29	0.28044963	0.058271267
ENST00000394308	1176	1177	.	0	ENSG00000070669	97856723	0.029865135	25	0.15715931	0.1393896
ENST00000394308	1183	1184	.	0	ENSG00000070669	97856716	0.01786027	26	0.2723531	0.21061087
ENST00000394308	1243	1244	.	0	ENSG00000070669	97855426	0.23740172	22	0.43627733	0.009663892
ENST00000394308	1286	1287	.	0	ENSG00000070669	97855383	0.5830416	28	0.6870178	0.03456999
ENST00000394308	1367	1368	.	0	ENSG00000070669	97854630	0.20334788	26	0.46897608	0.27824488
ENST00000394308	1401	1402	.	0	ENSG00000070669	97854596	0.2209055	30	0.4282956	0.33413845
ENST00000394308	1424	1425	.	0	ENSG00000070669	97853380	0.8871872	29	0.9031762	0.2892708
ENST00000394308	1514	1515	.	0	ENSG00000070669	97853201	0.027807843	29	0.09554347	0.02088139
ENST00000394308	1602	1603	.	0	ENSG00000070669	97853113	0.30370966	26	0.35057503	0.4979438
ENST00000394308	1649	1650	.	0	ENSG00000070669	97853066	0.18032387	30	0.5206002	0.022620916
ENST00000394308	1713	1714	.	0	ENSG00000070669	97852411	0.016186059	25	0.1228258	0.12461456
ENST00000394308	1771	1772	.	0	ENSG00000070669	97852353	0.1706013	29	0.41416112	0.04832598
ENST00000394308	1816	1817	.	0	ENSG00000070669	97852308	0.18701571	27	0.09943128	0.033497535
ENST00000394308	1836	1837	.	0	ENSG00000070669	97852288	0.27256268	27	0.08949051	0.039897334
ENST00000394308	1918	1919	.	1	ENSG00000070669	97852206	0.88917506	30	0.6557139	0.2352223
ENST00000394308	1937	1938	.	0	ENSG00000070669	97852187	0.14010331	31	0.33823934	0.008878553
ENST00000394308	1960	1961	.	0	ENSG00000070669	97852164	0.030915176	30	0.22593534	0.005587709
ENST00000175506	176	177	.	0	ENSG00000070669	97872366	0.35518098	75	0.1378734	0.23615876
ENST00000175506	689	690	.	0	ENSG00000070669	97868996	0.03798107	89	0.09433027	0.0684004
ENST00000175506	808	809	.	0	ENSG00000070669	97864466	0.090855196	81	0.11593406	0.0421898
ENST00000175506	845	846	.	0	ENSG00000070669	97864429	0.06284372	83	0.28423613	0.11043028
ENST00000175506	865	866	.	0	ENSG00000070669	97864409	0.009500325	93	0.08116226	0.02418195
ENST00000175506	957	958	.	0	ENSG00000070669	97864317	0.16058806	78	0.15013734	0.004822433
ENST00000175506	976	977	.	0	ENSG00000070669	97864298	0.014251972	85	0.17816788	0.06399299
ENST00000175506	1077	1078	.	0	ENSG00000070669	97859337	0.76490784	72	0.78247964	0.6060322
ENST00000175506	1178	1179	.	0	ENSG00000070669	97859236	0.006654036	81	0.20997997	0.13630977
ENST00000175506	1191	1192	.	0	ENSG00000070669	97859223	0.052768685	81	0.16788752	0.09386565
ENST00000175506	1216	1217	.	0	ENSG00000070669	97858941	0.2281735	80	0.41402632	0.116914555
ENST00000175506	1226	1227	.	0	ENSG00000070669	97858931	0.1510593	90	0.33506456	0.03836479
ENST00000175506	1273	1274	.	0	ENSG00000070669	97858884	0.052892614	82	0.24187508	0.1751856
ENST00000175506	1277	1278	.	0	ENSG00000070669	97858880	0.031795464	75	0.13598908	0.0041755913
ENST00000175506	1313	1314	.	0	ENSG00000070669	97858396	0.335416	88	0.26822862	0.016040826
ENST00000175506	1381	1382	.	0	ENSG00000070669	97858328	0.020809675	92	0.11734122	0.02416042
ENST00000175506	1403	1404	.	0	ENSG00000070669	97858306	0.61108935	77	0.63540447	0.5795682
ENST00000175506	1455	1456	.	0	ENSG00000070669	97856793	0.21920356	96	0.51013994	0.013311875
ENST00000175506	1475	1476	.	0	ENSG00000070669	97856773	0.017698253	98	0.23161046	0.015675569
ENST00000175506	1525	1526	.	0	ENSG00000070669	97856723	0.13319734	77	0.26085362	0.1831724
ENST00000175506	1532	1533	.	0	ENSG00000070669	97856716	0.10090941	90	0.32176262	0.09945033
ENST00000175506	1592	1593	.	0	ENSG00000070669	97855426	0.17243756	86	0.43226185	0.01522814
ENST00000175506	1635	1636	.	0	ENSG00000070669	97855383	0.43695718	96	0.6420188	0.1398246
ENST00000175506	1716	1717	.	0	ENSG00000070669	97854630	0.2948699	92	0.6136767	0.06747005
ENST00000175506	1750	1751	.	0	ENSG00000070669	97854596	0.24800129	99	0.40104255	0.41933244
ENST00000175506	1773	1774	.	0	ENSG00000070669	97853380	0.79056436	96	0.76150495	0.2317873
ENST00000175506	1863	1864	.	0	ENSG00000070669	97853201	0.027867626	100	0.0757102	0.069770336
ENST00000175506	1951	1952	.	0	ENSG00000070669	97853113	0.12284776	91	0.23110108	0.08107473
ENST00000175506	1998	1999	.	0	ENSG00000070669	97853066	0.2569445	99	0.5919185	0.13213825
ENST00000175506	2062	2063	.	0	ENSG00000070669	97852411	0.020737207	89	0.11259482	0.31511152
ENST00000175506	2120	2121	.	0	ENSG00000070669	97852353	0.3308451	95	0.36791086	0.08063114
ENST00000175506	2165	2166	.	0	ENSG00000070669	97852308	0.12882781	93	0.092497215	0.029492032
ENST00000175506	2185	2186	.	0	ENSG00000070669	97852288	0.053522922	89	0.060670495	0.012473369
ENST00000175506	2267	2268	.	1	ENSG00000070669	97852206	0.72952616	99	0.4955247	0.40414682
ENST00000175506	2286	2287	.	0	ENSG00000070669	97852187	0.22763863	100	0.41098714	0.010326469
ENST00000175506	2309	2310	.	0	ENSG00000070669	97852164	0.0638154	97	0.23139325	0.01168493
ENST00000272348	162	163	.	0	ENSG00000143977	70289364	0.24688537	202	0.3528656	0.06412864
ENST00000272348	196	197	.	0	ENSG00000143977	70288173	0.10111783	275	0.14244242	0.115239635
ENST00000272348	237	238	.	0	ENSG00000143977	70288132	0.21489275	260	0.2674677	0.19978598
ENST00000272348	277	278	.	0	ENSG00000143977	70288092	0.07162678	264	0.35281014	0.118164755
ENST00000272348	285	286	.	0	ENSG00000143977	70288084	0.06132512	295	0.35476637	0.01822207
ENST00000272348	375	376	.	0	ENSG00000143977	70281611	0.1499467	222	0.12815833	0.051375784
ENST00000272348	447	448	.	0	ENSG00000143977	70281539	0.1200066	190	0.27392617	0.058213472
ENST00000272348	463	464	.	0	ENSG00000143977	70281523	0.079273954	190	0.25326267	0.0962855
ENST00000272348	538	539	.	0	ENSG00000143977	70281448	0.0023355721	52	0.078718625	0.008617091
ENST00000272348	557	558	.	0	ENSG00000143977	70281429	0.10437767	47	0.32955348	0.20502639
ENST00000454893	102	103	.	0	ENSG00000143977	70289364	0.053078033	54	0.27785316	0.019194663
ENST00000454893	136	137	.	0	ENSG00000143977	70288173	0.01913656	76	0.14074303	0.017878234
ENST00000454893	177	178	.	0	ENSG00000143977	70288132	0.1540344	74	0.3162187	0.035816442
ENST00000454893	217	218	.	0	ENSG00000143977	70288092	0.14521135	73	0.3650834	0.025948966
ENST00000454893	225	226	.	0	ENSG00000143977	70288084	0.089783885	82	0.36597607	0.01365844
ENST00000454893	422	423	.	0	ENSG00000143977	70281611	0.04015074	63	0.12079638	0.063871965
ENST00000454893	494	495	.	0	ENSG00000143977	70281539	0.2704703	47	0.46442825	0.13485643
ENST00000454893	510	511	.	0	ENSG00000143977	70281523	0.041844547	42	0.19305581	0.019119728
ENST00000370092	1618	1619	.	0	ENSG00000067829	153785859	0.29108483	20	0.3135429	0.50526
ENST00000370093	167	168	.	0	ENSG00000067829	153790820	0.39390254	53	0.47472745	0.18080553
ENST00000370093	180	181	.	0	ENSG00000067829	153790573	0.21977524	38	0.4412602	0.14405988
ENST00000370093	184	185	.	0	ENSG00000067829	153790569	0.0386732	44	0.1025749	0.0805001
ENST00000370093	226	227	.	0	ENSG00000067829	153790256	0.051510714	48	0.13506487	0.046426106
ENST00000370093	308	309	.	0	ENSG00000067829	153789804	0.602337	52	0.5058527	0.25311103
ENST00000370093	350	351	.	0	ENSG00000067829	153789762	0.043453764	48	0.5553615	0.028062642
ENST00000370093	383	384	.	0	ENSG00000067829	153789729	0.19614154	52	0.11391707	0.002830422
ENST00000370093	412	413	.	0	ENSG00000067829	153788124	0.040677227	52	0.051584374	0.07498553
ENST00000370093	422	423	.	0	ENSG00000067829	153788114	0.03453995	52	0.124876045	0.26517287
ENST00000370093	449	450	.	0	ENSG00000067829	153788087	0.028623784	58	0.11795213	0.24576911
ENST00000370093	473	474	.	0	ENSG00000067829	153787944	0.27430013	46	0.23972137	0.07068279
ENST00000370093	520	521	.	0	ENSG00000067829	153787897	0.16383521	54	0.11346523	0.060349774
ENST00000370093	533	534	.	0	ENSG00000067829	153787884	0.22691306	49	0.6245532	0.027884651
ENST00000370093	539	540	.	0	ENSG00000067829	153787878	0.061666917	47	0.42506447	0.19038026
ENST00000370093	560	561	.	0	ENSG00000067829	153787857	0.17127372	51	0.46702424	0.042241465
ENST00000370093	732	733	.	0	ENSG00000067829	153787150	0.38308853	60	0.4324666	0.6387352
ENST00000370093	803	804	.	1	ENSG00000067829	153787079	0.33474928	66	0.46000642	0.23026927
ENST00000370093	818	819	.	0	ENSG00000067829	153787064	0.040063906	58	0.17031036	0.013368845
ENST00000370093	912	913	.	0	ENSG00000067829	153786867	0.58101106	60	0.60671264	0.015365278
ENST00000370093	976	977	.	0	ENSG00000067829	153786803	0.11388731	67	0.13847339	0.018194795
ENST00000370093	989	990	.	0	ENSG00000067829	153786439	0.20774463	65	0.3903478	0.002719164
ENST00000370093	1016	1017	.	0	ENSG00000067829	153786412	0.6053774	65	0.48894185	0.23980518
ENST00000370093	1064	1065	.	0	ENSG00000067829	153786364	0.25505775	47	0.39519948	0.28126946
ENST00000370093	1206	1207	.	0	ENSG00000067829	153786222	0.3745233	58	0.7222167	0.34650594
ENST00000370093	1468	1469	.	0	ENSG00000067829	153785960	0.16031016	61	0.42539302	0.20539288
ENST00000370093	1569	1570	.	0	ENSG00000067829	153785859	0.39490908	55	0.46587044	0.27335024
ENST00000343411	3981	3982	.	0	ENSG00000140943	84054122	0.021009957	20	0.11748648	0.07649408
ENST00000260247	115	116	.	0	ENSG00000137692	103092100	0.23644638	25	0.21111289	0.004879749
ENST00000260247	258	259	.	1	ENSG00000137692	103091957	0.7994439	27	0.7190652	0.08332684
ENST00000260247	296	297	.	0	ENSG00000137692	103091919	0.4895273	24	0.43198913	0.25259075
ENST00000260247	456	457	.	0	ENSG00000137692	103089291	0.115145065	26	0.35576063	0.077737845
ENST00000260247	474	475	.	0	ENSG00000137692	103089273	0.2302247	28	0.4010342	0.0051000593
ENST00000260247	569	570	.	0	ENSG00000137692	103083278	0.032124795	29	0.15266144	0.07635389
ENST00000260247	582	583	.	0	ENSG00000137692	103083265	0.17190416	29	0.19144972	0.041410267
ENST00000260247	673	674	.	0	ENSG00000137692	103082758	0.017570103	27	0.25501248	0.016952395
ENST00000260247	689	690	.	0	ENSG00000137692	103066562	0.46975	20	0.5572891	0.119644865
ENST00000260247	710	711	.	0	ENSG00000137692	103066541	0.016237974	28	0.16265199	0.15358756
ENST00000260247	719	720	.	0	ENSG00000137692	103066532	0.17706451	25	0.38558784	0.07717623
ENST00000260247	859	860	.	0	ENSG00000137692	103066307	0.08265994	26	0.4215042	0.029355992
ENST00000260247	920	921	.	0	ENSG00000137692	103064355	0.24763545	27	0.5149968	0.21968205
ENST00000260247	958	959	.	0	ENSG00000137692	103064317	0.5731391	24	0.72505546	0.3262209
ENST00000260247	980	981	.	0	ENSG00000137692	103064295	0.0054187058	30	0.18823099	0.0031284809
ENST00000260247	1048	1049	.	0	ENSG00000137692	103062367	0.016193341	25	0.14424074	0.0071000457
ENST00000260247	1062	1063	.	0	ENSG00000137692	103062353	0.45728645	31	0.5048281	0.025752652
ENST00000260247	1082	1083	.	0	ENSG00000137692	103062333	0.044920195	31	0.106275216	0.122734204
ENST00000260247	1164	1165	.	0	ENSG00000137692	103062251	0.83444107	25	0.9125517	0.9778268
ENST00000260247	1249	1250	.	0	ENSG00000137692	103062166	0.43033773	22	0.43376207	0.23770747
ENST00000260247	1287	1288	.	0	ENSG00000137692	103062128	0.0027106523	32	0.087342486	0.10636145
ENST00000260247	1301	1302	.	0	ENSG00000137692	103062114	0.110536896	25	0.3035306	0.030751824
ENST00000263238	351	352	.	0	ENSG00000115091	113890311	0.6582064	30	0.3070523	0.009009254
ENST00000263238	373	374	.	0	ENSG00000115091	113913181	0.0020472645	30	0.05855744	0.021755826
ENST00000263238	397	398	.	0	ENSG00000115091	113913205	0.057253767	29	0.14476398	0.06348252
ENST00000263238	489	490	.	0	ENSG00000115091	113916953	0.07756716	31	0.10583246	0.032690298
ENST00000263238	495	496	.	0	ENSG00000115091	113916959	0.23708344	29	0.29870957	0.0101496335
ENST00000263238	526	527	.	0	ENSG00000115091	113916990	0.02435509	29	0.077848576	0.13234285
ENST00000263238	579	580	.	0	ENSG00000115091	113927379	0.49357566	31	0.3348078	0.12874755
ENST00000263238	631	632	.	0	ENSG00000115091	113927431	0.5824403	27	0.15846811	0.5243009
ENST00000263238	639	640	.	0	ENSG00000115091	113927439	0.018098641	24	0.16881163	0.015513825
ENST00000263238	656	657	.	0	ENSG00000115091	113931301	0.1820651	25	0.3304545	0.016176557
ENST00000263238	661	662	.	0	ENSG00000115091	113931306	0.21250887	26	0.17471656	0.080023006
ENST00000263238	684	685	.	0	ENSG00000115091	113931329	0.16300976	25	0.087110795	0.14142323
ENST00000263238	779	780	.	0	ENSG00000115091	113934306	0.39683548	26	0.30525643	0.5029176
