chr	start	end	strand	label	n_supporting	method	gene_name
10	70146439	70146440	-		3	Bisulfite-seq,m5C-RIP-seq	TYSND1,TYSND1,TYSND1
10	70146618	70146619	-		4	Bisulfite-seq,m5C-RIP-seq	TYSND1,TYSND1,TYSND1
10	97334125	97334126	-		2	Bisulfite-seq,m5C-RIP-seq	FRAT2
10	97498274	97498275	-		6	Bisulfite-seq,m5C-RIP-seq	MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19,MMS19
10	97713781	97713782	+		2	Bisulfite-seq,m5C-RIP-seq	MARVELD1,MARVELD1,MARVELD1
10	97717224	97717225	+		1	m5C-RIP-seq	MARVELD1,MARVELD1,MARVELD1,MARVELD1
10	97717658	97717659	+		1	m5C-RIP-seq	MARVELD1
10	101003881	101003882	+		4	Bisulfite-seq,m5C-RIP-seq	LZTS2,LZTS2
10	132228010	132228011	-		4	Bisulfite-seq,m5C-RIP-seq	STK32C,STK32C,STK32C,STK32C
10	132307786	132307787	-		3	Bisulfite-seq,m5C-RIP-seq	STK32C,STK32C
10	133281376	133281377	-		4	Bisulfite-seq,m5C-RIP-seq	TUBGCP2,TUBGCP2,TUBGCP2,TUBGCP2,TUBGCP2,TUBGCP2,TUBGCP2
10	133308936	133308937	+		1	m5C-RIP-seq	ZNF511
10	133355495	133355496	-		6	Bisulfite-seq,m5C-RIP-seq	FUOM,FUOM,FUOM,FUOM,FUOM
10	133394268	133394269	+		4	Bisulfite-seq,m5C-RIP-seq	AL360181.3,MTG1,MTG1,MTG1,MTG1,MTG1,MTG1
11	490936	490937	+		4	Bisulfite-seq,m5C-RIP-seq	PTDSS2,PTDSS2
11	1752918	1752919	-		3	m5C-RIP-seq,Bisulfite-seq	CTSD,AC068580.4,CTSD,AC068580.4,CTSD,AC068580.4,AC068580.4,CTSD,CTSD
11	1759549	1759550	-		5	Bisulfite-seq,m5C-RIP-seq	CTSD,CTSD,CTSD,AC068580.4,CTSD,AC068580.4,CTSD,CTSD,CTSD,CTSD,CTSD,CTSD
11	1996889	1996890	-		3	Bisulfite-seq,m5C-RIP-seq	H19,H19,H19,H19,H19
11	3827133	3827134	-		2	Bisulfite-seq,m5C-RIP-seq	RHOG,RHOG
11	4092691	4092692	+		4	Bisulfite-seq,m5C-RIP-seq	STIM1,STIM1
11	32091253	32091254	+		5	Bisulfite-seq,m5C-RIP-seq	RCN1,AL035078.4,AL035078.4
11	32091277	32091278	+		2	m5C-RIP-seq,Bisulfite-seq	RCN1,AL035078.4,AL035078.4
11	46673335	46673336	+		1	m5C-RIP-seq	ATG13,ATG13,ATG13,ATG13
11	46673336	46673337	+		4	Bisulfite-seq,m5C-RIP-seq	ATG13,ATG13,ATG13,ATG13
11	46678118	46678119	-		1	m5C-RIP-seq	ARHGAP1
11	46678358	46678359	-		3	m5C-RIP-seq,Bisulfite-seq	ARHGAP1
11	47239885	47239886	-		2	m5C-RIP-seq,Bisulfite-seq	ACP2,ACP2,ACP2,ACP2,ACP2,ACP2
11	61341486	61341487	+		3	Bisulfite-seq,m5C-RIP-seq	TKFC,TKFC
11	61866670	61866671	+		4	Bisulfite-seq,m5C-RIP-seq	FADS2,FADS2,FADS2
11	63758890	63758891	+		5	Bisulfite-seq,m5C-RIP-seq	RTN3,RTN3,RTN3,RTN3,RTN3,RTN3
11	63998343	63998344	+		1	m5C-RIP-seq	OTUB1,OTUB1,OTUB1,OTUB1,OTUB1
11	64251653	64251654	+		1	m5C-RIP-seq	PLCB3,PLCB3,PLCB3
11	64285219	64285220	+		3	m5C-RIP-seq,Bisulfite-seq	GPR137,GPR137,GPR137,GPR137,GPR137,GPR137
11	64288440	64288441	+		5	Bisulfite-seq,m5C-RIP-seq	GPR137,GPR137,GPR137,GPR137,GPR137,GPR137,GPR137,GPR137
11	65539223	65539224	-		4	Bisulfite-seq,m5C-RIP-seq	LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,LTBP3
11	65547471	65547472	-		3	Bisulfite-seq,m5C-RIP-seq	LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,LTBP3,LTBP3
11	65584531	65584532	+		3	Bisulfite-seq,m5C-RIP-seq	EHBP1L1,EHBP1L1,EHBP1L1,EHBP1L1,EHBP1L1,EHBP1L1
11	65780106	65780107	-		2	m5C-RIP-seq,Bisulfite-seq	AP5B1
11	66267482	66267483	+		4	Bisulfite-seq,m5C-RIP-seq	KLC2,KLC2,KLC2,KLC2,KLC2,KLC2,KLC2
11	66276686	66276687	+		4	Bisulfite-seq,m5C-RIP-seq	RAB1B,G-rich
11	66296014	66296015	+		5	Bisulfite-seq,m5C-RIP-seq	TMEM151A
11	66345526	66345527	-		4	Bisulfite-seq,m5C-RIP-seq	B4GAT1
11	66685447	66685448	-		2	Bisulfite-seq,m5C-RIP-seq	SPTBN2,SPTBN2,SPTBN2,SPTBN2,SPTBN2
11	66687589	66687590	-		2	m5C-RIP-seq,Bisulfite-seq	SPTBN2,SPTBN2,SPTBN2,SPTBN2,SPTBN2,SPTBN2
11	66868898	66868899	-		4	Bisulfite-seq,m5C-RIP-seq	PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC
11	67432773	67432774	+		6	Bisulfite-seq,m5C-RIP-seq	RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2
11	67434619	67434620	+		2	m5C-RIP-seq,Bisulfite-seq	RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2,RPS6KB2
11	68348134	68348135	+		3	Bisulfite-seq,m5C-RIP-seq	LRP5,LRP5
11	70435110	70435111	+		1	m5C-RIP-seq	CTTN,CTTN,CTTN,CTTN,CTTN,CTTN
11	72224887	72224888	+		1	m5C-RIP-seq	INPPL1,INPPL1,INPPL1
11	72224888	72224889	+		2	m5C-RIP-seq,Bisulfite-seq	INPPL1,INPPL1,INPPL1
11	72225012	72225013	+		2	m5C-RIP-seq,Bisulfite-seq	INPPL1,INPPL1,INPPL1
11	72727057	72727058	-		2	m5C-RIP-seq,Bisulfite-seq	ARAP1,ARAP1
11	73308895	73308896	+		4	Bisulfite-seq,m5C-RIP-seq	ARHGEF17
11	73308896	73308897	+		5	Bisulfite-seq,m5C-RIP-seq	ARHGEF17
11	73927289	73927290	+		2	Bisulfite-seq,m5C-RIP-seq	PAAF1,PAAF1,PAAF1,PAAF1,PAAF1,PAAF1,PAAF1
11	74311532	74311533	-		2	m5C-RIP-seq,Bisulfite-seq	P4HA3,P4HA3,P4HA3,P4HA3
11	75404676	75404677	+		4	Bisulfite-seq,m5C-RIP-seq	RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3,RPS3
11	75815427	75815428	+		4	Bisulfite-seq,m5C-RIP-seq	UVRAG
11	78124142	78124143	-		2	m5C-RIP-seq,Bisulfite-seq	ALG8,ALG8,ALG8,ALG8,ALG8,ALG8,ALG8,ALG8,ALG8,ALG8,ALG8,ALG8
11	102110831	102110832	+		3	m5C-RIP-seq,Bisulfite-seq	YAP1,YAP1,YAP1,YAP1,YAP1
11	117209028	117209029	-		2	m5C-RIP-seq,Bisulfite-seq	PCSK7,PCSK7,PCSK7,PCSK7,PCSK7,PCSK7,PCSK7
11	117395672	117395673	+		1	m5C-RIP-seq	CEP164,CEP164,CEP164,CEP164
11	119107557	119107558	+		2	m5C-RIP-seq,Bisulfite-seq	C2CD2L,C2CD2L,C2CD2L,C2CD2L,C2CD2L,C2CD2L
11	119308933	119308934	-		3	m5C-RIP-seq,Bisulfite-seq	AP002956.1
11	119309810	119309811	-		3	m5C-RIP-seq,Bisulfite-seq	AP002956.1,AP002956.1,AP002956.1
11	124756333	124756334	-		1	m5C-RIP-seq	ESAM,ESAM,ESAM,ESAM,ESAM,ESAM
11	134224896	134224897	+		4	Bisulfite-seq,m5C-RIP-seq	VPS26B,VPS26B
12	6724689	6724690	+		3	Bisulfite-seq,m5C-RIP-seq	COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A,COPS7A
12	6828489	6828490	+		1	m5C-RIP-seq	GPR162,P3H3
12	39442995	39442996	-		1	m5C-RIP-seq	KIF21A,KIF21A
12	40105901	40105902	-		3	Bisulfite-seq,m5C-RIP-seq	SLC2A13,SLC2A13
12	45216176	45216177	+		2	m5C-RIP-seq,Bisulfite-seq	ANO6,ANO6,ANO6,ANO6,ANO6
12	48965574	48965575	-		2	Bisulfite-seq,m5C-RIP-seq	WNT10B,WNT10B,WNT10B
12	49791643	49791644	-		1	m5C-RIP-seq	NCKAP5L,NCKAP5L
12	52191884	52191885	-		2	m5C-RIP-seq,Bisulfite-seq	KRT80,KRT80
12	52233235	52233236	+		2	m5C-RIP-seq,Bisulfite-seq	KRT7
12	52241593	52241594	+		2	Bisulfite-seq,m5C-RIP-seq	KRT7,KRT7,KRT7,KRT7,KRT7,KRT7
12	53102117	53102118	+		5	Bisulfite-seq,m5C-RIP-seq	IGFBP6,IGFBP6,IGFBP6,IGFBP6
12	56002638	56002639	+		2	Bisulfite-seq,m5C-RIP-seq	SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX,SUOX
12	56128418	56128419	+		2	m5C-RIP-seq,Bisulfite-seq	ESYT1,ESYT1,ESYT1
12	56272746	56272747	-		4	Bisulfite-seq,m5C-RIP-seq	CS,CS,CS,CS
12	57233580	57233581	+		3	m5C-RIP-seq,Bisulfite-seq	SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2,SHMT2
12	62021753	62021754	-		4	Bisulfite-seq,m5C-RIP-seq	FAM19A2,RPS3P6,FAM19A2,FAM19A2,FAM19A2,FAM19A2,FAM19A2,FAM19A2
12	106997605	106997606	-		4	m5C-RIP-seq,Bisulfite-seq	CRY1,CRY1
12	108646811	108646812	-		4	m5C-RIP-seq,Bisulfite-seq	CORO1C,CORO1C,CORO1C,CORO1C
12	111692742	111692743	+		5	Bisulfite-seq,m5C-RIP-seq	ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,ACAD10
12	113011436	113011437	+		1	m5C-RIP-seq	OAS2,MER21C,OAS2
12	118246146	118246147	+		4	Bisulfite-seq,m5C-RIP-seq	RPS2P5
12	118376701	118376702	+		4	Bisulfite-seq,m5C-RIP-seq	SUDS3
12	119687584	119687585	-		2	Bisulfite-seq,m5C-RIP-seq	CIT,CIT,CIT
12	120144336	120144337	-		4	Bisulfite-seq,m5C-RIP-seq	GCN1
12	121626929	121626930	+		1	m5C-RIP-seq	ORAI1,ORAI1,ORAI1
12	122984706	122984707	-		5	Bisulfite-seq,m5C-RIP-seq	PITPNM2,PITPNM2,PITPNM2
12	131139420	131139421	+		2	Bisulfite-seq,m5C-RIP-seq	ADGRD1,ADGRD1,ADGRD1,ADGRD1,ADGRD1
12	132062112	132062113	+		3	Bisulfite-seq,m5C-RIP-seq	EP400,EP400
12	132062113	132062114	+		3	Bisulfite-seq,m5C-RIP-seq	EP400,EP400
13	27424655	27424656	+		1	m5C-RIP-seq	GTF3A,GTF3A
13	39037722	39037723	-		2	m5C-RIP-seq,Bisulfite-seq	PROSER1,PROSER1,PROSER1
13	44573173	44573174	-		4	Bisulfite-seq,m5C-RIP-seq	TSC22D1,TSC22D1,TSC22D1,TSC22D1
13	48081646	48081647	-		4	Bisulfite-seq,m5C-RIP-seq	MED4,MED4,MED4
13	73059466	73059467	+		3	Bisulfite-seq,m5C-RIP-seq	KLF5,KLF5,KLF5
13	110174660	110174661	-		4	Bisulfite-seq,m5C-RIP-seq	COL4A1
13	110508152	110508153	+		2	m5C-RIP-seq,Bisulfite-seq	COL4A2,COL4A2,COL4A2,COL4A2
13	110914889	110914890	-		5	Bisulfite-seq,m5C-RIP-seq	ANKRD10,ANKRD10,ANKRD10
13	113835627	113835628	-		1	m5C-RIP-seq	GAS6,GAS6
14	19093666	19093667	+		1	m5C-RIP-seq	DUXAP9,DUXAP9,DUXAP9,MER45A,DUXAP9,DUXAP9,DUXAP9
14	20343233	20343234	-		5	Bisulfite-seq,m5C-RIP-seq,na	RPPH1,AL355075.4
14	21460855	21460856	-		5	Bisulfite-seq,m5C-RIP-seq	RAB2B,RAB2B,AluSp
14	21460864	21460865	-		5	Bisulfite-seq,m5C-RIP-seq	RAB2B,AluSp,RAB2B
14	21460865	21460866	-		5	Bisulfite-seq,m5C-RIP-seq	RAB2B,RAB2B,AluSp
14	22973489	22973490	-		2	m5C-RIP-seq,Bisulfite-seq	AJUBA,AJUBA,AL132780.3,AJUBA
14	23953852	23953853	+		3	Bisulfite-seq,m5C-RIP-seq	DHRS4,DHRS4,DHRS4,DHRS4,DHRS4,DHRS4,DHRS4
14	24216984	24216985	-		2	Bisulfite-seq,m5C-RIP-seq	NEDD8,NEDD8-MDP1,NEDD8-MDP1,NEDD8-MDP1,NEDD8,NEDD8-MDP1,NEDD8,NEDD8
14	49586018	49586019	-		5	Bisulfite-seq,m5C-RIP-seq	RPS29,RPS29,RPS29,RPS29,RPS29,RPS29,RPS29
14	69209633	69209634	+		2	Bisulfite-seq,m5C-RIP-seq	EXD2,EXD2,EXD2,EXD2,EXD2,EXD2,EXD2,EXD2
14	73950385	73950386	+		3	Bisulfite-seq,m5C-RIP-seq	COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6,COQ6
14	89417750	89417751	+		3	Bisulfite-seq,m5C-RIP-seq	FOXN3-AS1
14	102348512	102348513	-		5	Bisulfite-seq,m5C-RIP-seq	CINP,CINP,CINP,CINP,CINP
14	102507559	102507560	-		4	Bisulfite-seq,m5C-RIP-seq	ANKRD9,ANKRD9,ANKRD9,ANKRD9
14	103385550	103385551	+		2	Bisulfite-seq,m5C-RIP-seq	MARK3,MARK3,MARK3,MARK3,MARK3,MARK3
14	103571638	103571639	+		1	m5C-RIP-seq	APOPT1,AL139300.1,KLC1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1,APOPT1
14	103697900	103697901	-		3	m5C-RIP-seq,Bisulfite-seq	XRCC3,XRCC3,XRCC3,XRCC3,XRCC3
14	103698676	103698677	-		2	Bisulfite-seq,m5C-RIP-seq	XRCC3,XRCC3,XRCC3,XRCC3,XRCC3
14	104176785	104176786	+		3	m5C-RIP-seq,Bisulfite-seq	KIF26A,KIF26A
14	104894762	104894763	+		5	Bisulfite-seq,m5C-RIP-seq	CEP170B,CEP170B,CEP170B,CEP170B
14	104954235	104954236	-		1	m5C-RIP-seq	AHNAK2,AHNAK2,AHNAK2
14	105348577	105348578	+		4	Bisulfite-seq,m5C-RIP-seq	PACS2,PACS2,PACS2,PACS2,PACS2,PACS2
15	30471273	30471274	+		2	m5C-RIP-seq,Bisulfite-seq	AC127502.1
15	41900037	41900038	-		3	Bisulfite-seq,m5C-RIP-seq	EHD4
15	66352176	66352177	-		3	Bisulfite-seq,m5C-RIP-seq	TIPIN,TIPIN,TIPIN,TIPIN,TIPIN
15	66386950	66386951	+		5	Bisulfite-seq,m5C-RIP-seq	MAP2K1,MAP2K1
15	72731401	72731402	+		5	Bisulfite-seq,m5C-RIP-seq	BBS4,BBS4,BBS4,BBS4,BBS4,BBS4,BBS4,BBS4
15	74195330	74195331	-		1	m5C-RIP-seq	STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6,STRA6
15	74458713	74458714	-		4	m5C-RIP-seq,Bisulfite-seq	UBL7,UBL7,UBL7,UBL7,UBL7,UBL7,UBL7
15	74631045	74631046	-		3	Bisulfite-seq,m5C-RIP-seq	EDC3,EDC3
15	74956499	74956500	-		1	m5C-RIP-seq	RPP25
15	75675412	75675413	-		3	Bisulfite-seq,m5C-RIP-seq	CSPG4
15	75677290	75677291	-		2	m5C-RIP-seq,Bisulfite-seq	CSPG4
15	78281673	78281674	+		1	m5C-RIP-seq	DNAJA4,DNAJA4,DNAJA4,DNAJA4
15	78292623	78292624	-		2	m5C-RIP-seq,Bisulfite-seq	WDR61,WDR61,WDR61,WDR61,WDR61,WDR61,WDR61,WDR61
15	90882310	90882311	+		5	Bisulfite-seq,m5C-RIP-seq	FURIN,FURIN,FURIN
15	90903360	90903361	+		1	m5C-RIP-seq	MAN2A2,MAN2A2,MAN2A2,MAN2A2,MAN2A2,MAN2A2,MAN2A2
15	101398525	101398526	-		2	m5C-RIP-seq,Bisulfite-seq	PCSK6,PCSK6,PCSK6,PCSK6,PCSK6,PCSK6,PCSK6,PCSK6,PCSK6,PCSK6
16	521111	521112	+		2	m5C-RIP-seq,Bisulfite-seq	RAB11FIP3,RAB11FIP3,RAB11FIP3
16	521910	521911	+		3	Bisulfite-seq,m5C-RIP-seq	RAB11FIP3,RAB11FIP3,RAB11FIP3
16	570037	570038	+		4	Bisulfite-seq,m5C-RIP-seq	Z98883.1,PIGQ,PIGQ,PIGQ,PIGQ,PIGQ,Z98883.1,PIGQ,PIGQ
16	649645	649646	+		3	m5C-RIP-seq,Bisulfite-seq	WDR90,WDR90,WDR90,WDR90,WDR90
16	649808	649809	+		1	m5C-RIP-seq	WDR90,WDR90,WDR90,WDR90,WDR90
