chr	start	end	strand	label	Loci	Coverage_B	C_count_B	T_count_B	MethyRate_B	C+T/cov_B	Coverage_C	C_count_C	T_count_C	MethyRate_C	C+T/cov_C	Coverage_E	C_count_E	T_count_E	MethyRate_E	C+T/cov_E	Raw_Coverage_B	Raw_C_count_B	Raw_T_count_B	Raw_MethyRate_B	Raw_C+T/cov_B	SignalRatio_B	Raw_Coverage_C	Raw_C_count_C	Raw_T_count_C	Raw_MethyRate_C	Raw_C+T/cov_C	SignalRatio_C	Raw_Coverage_E	Raw_C_count_E	Raw_T_count_E	Raw_MethyRate_E	Raw_C+T/cov_E	SignalRatio_E	Loci.1	GeneSymbol	Transcript ID	Region	TranscriptType
1	17407245	17407246	-		chr1:17407246:C:-	1863	431	1432	0.231347289318304	1.0	1799	446	1353	0.247915508615898	1.0	1251	327	924	0.261390887290168	1.0	1863	431	1432	0.231347289318304	1.0	1.0	1799	446	1353	0.247915508615898	1.0	1.0	1252	328	924	0.261980830670927	1.0	0.999201	chr1:17407246:C:-	RCC2	ENST00000375436.8	3utr	protein_coding
1	180154980	180154981	+		chr1:180154981:C:+	171	45	126	0.263157894736842	1.0	189	34	155	0.17989417989418	1.0	131	29	102	0.221374045801527	1.0	172	46	126	0.267441860465116	1.0	0.994186	189	34	155	0.17989417989418	1.0	1.0	131	29	102	0.221374045801527	1.0	1.0	chr1:180154981:C:+	QSOX1	ENST00000367602.7	cds	protein_coding
1	180175956	180175957	+		chr1:180175957:C:+	180	21	159	0.116666666666667	1.0	137	18	119	0.131386861313869	1.0	137	19	118	0.138686131386861	1.0	180	21	159	0.116666666666667	1.0	1.0	137	18	119	0.131386861313869	1.0	1.0	137	19	118	0.138686131386861	1.0	1.0	chr1:180175957:C:+	QSOX1	ENST00000367602.7	cds	protein_coding
1	183117337	183117338	+		chr1:183117338:C:+	164	30	134	0.182926829268293	1.0	136	11	125	0.0808823529411765	1.0	129	15	114	0.116279069767442	1.0	164	30	134	0.182926829268293	1.0	1.0	136	11	125	0.0808823529411765	1.0	1.0	129	15	114	0.116279069767442	1.0	1.0	chr1:183117338:C:+	LAMC1	ENST00000258341.4	cds	protein_coding
1	183533766	183533767	+		chr1:183533767:C:+	285	86	199	0.301754385964912	1.0	185	51	134	0.275675675675676	1.0	108	31	76	0.289719626168224	0.990740740740741	285	86	199	0.301754385964912	1.0	1.0	185	51	134	0.275675675675676	1.0	1.0	108	31	76	0.289719626168224	0.990740740740741	1.0	chr1:183533767:C:+	SMG7	ENST00000367537.7	cds	protein_coding
1	19158715	19158716	-		chr1:19158716:C:-	31	9	22	0.290322580645161	1.0	38	14	24	0.368421052631579	1.0	33	12	21	0.363636363636364	1.0	32	10	22	0.3125	1.0	0.96875	39	15	24	0.384615384615385	1.0	0.974359	34	13	21	0.382352941176471	1.0	0.970588	chr1:19158716:C:-	UBR4	ENST00000375254.7	intronic	protein_coding
1	19311959	19311960	-		chr1:19311960:C:-	2422	274	2148	0.113129644921552	1.0	2854	338	2516	0.118430273300631	1.0	2481	332	2149	0.133817009270455	1.0	2423	275	2148	0.113495666529096	1.0	0.999587	2855	338	2517	0.118388791593695	1.0	0.99965	2481	332	2149	0.133817009270455	1.0	1.0	chr1:19311960:C:-	AKR7A2	ENST00000235835.7	cds	protein_coding
1	198157072	198157073	+		chr1:198157073:C:+	114	67	47	0.587719298245614	1.0	122	73	49	0.598360655737705	1.0	98	58	40	0.591836734693878	1.0	114	67	47	0.587719298245614	1.0	1.0	122	73	49	0.598360655737705	1.0	1.0	99	59	40	0.595959595959596	1.0	0.989899	chr1:198157073:C:+	NEK7	ENST00000367385.8	5utr	protein_coding
1	203024284	203024285	+		chr1:203024285:C:+	146	54	92	0.36986301369863	1.0	171	64	107	0.374269005847953	1.0	115	54	61	0.469565217391304	1.0	146	54	92	0.36986301369863	1.0	1.0	171	64	107	0.374269005847953	1.0	1.0	115	54	61	0.469565217391304	1.0	1.0	chr1:203024285:C:+	TMEM183A	ENST00000367242.3	3utr	protein_coding
1	20485522	20485523	-		chr1:20485523:C:-	49	13	36	0.26530612244898	1.0	35	9	26	0.257142857142857	1.0	43	10	33	0.232558139534884	1.0	49	13	36	0.26530612244898	1.0	1.0	35	9	26	0.257142857142857	1.0	1.0	43	10	33	0.232558139534884	1.0	1.0	chr1:20485523:C:-	CAMK2N1	ENST00000375078.3	5utr	protein_coding
1	206733543	206733544	+		chr1:206733544:C:+	625	104	521	0.1664	1.0	471	73	398	0.154989384288747	1.0	397	59	338	0.148614609571788	1.0	625	104	521	0.1664	1.0	1.0	471	73	398	0.154989384288747	1.0	1.0	397	59	338	0.148614609571788	1.0	1.0	chr1:206733544:C:+	MAPKAPK2	ENST00000367103.3	3utr	protein_coding
1	21217833	21217834	-		chr1:21217834:C:-	206	38	168	0.184466019417476	1.0	136	15	121	0.110294117647059	1.0	121	16	105	0.132231404958678	1.0	206	38	168	0.184466019417476	1.0	1.0	136	15	121	0.110294117647059	1.0	1.0	123	18	105	0.146341463414634	1.0	0.98374	chr1:21217834:C:-	ECE1	ENST00000415912.6	3utr	protein_coding
1	224227621	224227622	-		chr1:224227622:C:-	313	52	261	0.166134185303514	1.0	322	47	275	0.145962732919255	1.0	267	28	239	0.104868913857678	1.0	313	52	261	0.166134185303514	1.0	1.0	323	48	275	0.148606811145511	1.0	0.996904	267	28	239	0.104868913857678	1.0	1.0	chr1:224227622:C:-	NVL	ENST00000281701.10	3utr	protein_coding
1	225490651	225490652	-		chr1:225490652:C:-	91	16	75	0.175824175824176	1.0	98	14	84	0.142857142857143	1.0	91	11	80	0.120879120879121	1.0	91	16	75	0.175824175824176	1.0	1.0	98	14	84	0.142857142857143	1.0	1.0	91	11	80	0.120879120879121	1.0	1.0	chr1:225490652:C:-	ENAH	ENST00000366844.7	3utr	protein_coding
1	229490007	229490008	-		chr1:229490008:C:-	81	18	63	0.222222222222222	1.0	121	22	99	0.181818181818182	1.0	102	20	82	0.196078431372549	1.0	81	18	63	0.222222222222222	1.0	1.0	121	22	99	0.181818181818182	1.0	1.0	102	20	82	0.196078431372549	1.0	1.0	chr1:229490008:C:-	NUP133	ENST00000261396.5	cds	protein_coding
1	231262770	231262771	+		chr1:231262771:C:+	443	74	369	0.167042889390519	1.0	464	60	404	0.129310344827586	1.0	417	58	359	0.139088729016787	1.0	443	74	369	0.167042889390519	1.0	1.0	464	60	404	0.129310344827586	1.0	1.0	417	58	359	0.139088729016787	1.0	1.0	chr1:231262771:C:+	GNPAT	ENST00000366647.8	cds	protein_coding
1	234430276	234430277	-		chr1:234430277:C:-	636	153	483	0.240566037735849	1.0	793	163	630	0.205548549810845	1.0	634	109	525	0.17192429022082	1.0	636	153	483	0.240566037735849	1.0	1.0	793	163	630	0.205548549810845	1.0	1.0	634	109	525	0.17192429022082	1.0	1.0	chr1:234430277:C:-	TARBP1	ENST00000040877.1	cds	protein_coding
1	235504213	235504214	-		chr1:235504214:C:-	795	123	672	0.154716981132075	1.0	820	98	722	0.119512195121951	1.0	562	82	480	0.145907473309609	1.0	795	123	672	0.154716981132075	1.0	1.0	821	98	723	0.119366626065773	1.0	0.998782	562	82	480	0.145907473309609	1.0	1.0	chr1:235504214:C:-	B3GALNT2	ENST00000366600.7	cds	protein_coding
1	244944200	244944201	+		chr1:244944201:C:+	52	7	45	0.134615384615385	1.0	51	7	44	0.137254901960784	1.0	69	15	54	0.217391304347826	1.0	52	7	45	0.134615384615385	1.0	1.0	51	7	44	0.137254901960784	1.0	1.0	69	15	54	0.217391304347826	1.0	1.0	chr1:244944201:C:+	RN7SKP55	ENST00000364888.1	ncRNA_exonic	misc_RNA
1	248848473	248848474	+		chr1:248848474:C:+	337	80	257	0.237388724035608	1.0	388	64	324	0.164948453608247	1.0	299	42	257	0.140468227424749	1.0	337	80	257	0.237388724035608	1.0	1.0	388	64	324	0.164948453608247	1.0	1.0	299	42	257	0.140468227424749	1.0	1.0	chr1:248848474:C:+	ZNF672	ENST00000306562.7	cds	protein_coding
1	248850172	248850173	-		chr1:248850173:C:-	109	55	54	0.504587155963303	1.0	79	32	47	0.405063291139241	1.0	87	39	48	0.448275862068966	1.0	109	55	54	0.504587155963303	1.0	1.0	79	32	47	0.405063291139241	1.0	1.0	87	39	48	0.448275862068966	1.0	1.0	chr1:248850173:C:-	ZNF692	ENST00000451251.5	3utr	protein_coding
1	26944673	26944674	+		chr1:26944674:C:+	67	7	60	0.104477611940299	1.0	67	5	62	0.0746268656716418	1.0	52	8	44	0.153846153846154	1.0	72	12	60	0.166666666666667	1.0	0.930556	71	9	62	0.126760563380282	1.0	0.943662	55	11	44	0.2	1.0	0.945455	chr1:26944674:C:+	NUDC	ENST00000321265.9	intronic	protein_coding
1	31635481	31635482	-		chr1:31635482:C:-	176	80	96	0.454545454545455	1.0	191	73	118	0.382198952879581	1.0	172	79	93	0.459302325581395	1.0	176	80	96	0.454545454545455	1.0	1.0	193	75	118	0.38860103626943	1.0	0.989637	172	79	93	0.459302325581395	1.0	1.0	chr1:31635482:C:-	PEF1	ENST00000373703.4	cds	protein_coding
1	31696631	31696632	-		chr1:31696632:C:-	41	6	35	0.146341463414634	1.0	49	5	44	0.102040816326531	1.0	43	5	38	0.116279069767442	1.0	41	6	35	0.146341463414634	1.0	1.0	49	5	44	0.102040816326531	1.0	1.0	43	5	38	0.116279069767442	1.0	1.0	chr1:31696632:C:-	COL16A1	ENST00000373672.7	intronic	protein_coding
1	32775813	32775814	-		chr1:32775814:C:-	751	148	603	0.197070572569907	1.0	646	129	517	0.19969040247678	1.0	524	123	400	0.235181644359465	0.998091603053435	751	148	603	0.197070572569907	1.0	1.0	648	131	517	0.202160493827161	1.0	0.996914	525	123	401	0.234732824427481	0.998095238095238	0.998095	chr1:32775814:C:-	YARS	ENST00000373477.8	3utr	protein_coding
1	3514616	3514617	-		chr1:3514617:C:-	41	10	31	0.24390243902439	1.0	43	12	31	0.27906976744186	1.0	54	14	40	0.259259259259259	1.0	41	10	31	0.24390243902439	1.0	1.0	43	12	31	0.27906976744186	1.0	1.0	54	14	40	0.259259259259259	1.0	1.0	chr1:3514617:C:-	MEGF6	ENST00000356575.8	cds	protein_coding
1	35565372	35565373	+		chr1:35565373:C:+	324	120	204	0.37037037037037	1.0	296	103	193	0.347972972972973	1.0	230	81	149	0.352173913043478	1.0	324	120	204	0.37037037037037	1.0	1.0	296	103	193	0.347972972972973	1.0	1.0	230	81	149	0.352173913043478	1.0	1.0	chr1:35565373:C:+	NCDN	ENST00000373243.6	cds	protein_coding
1	35888429	35888430	+		chr1:35888430:C:+	60	32	28	0.533333333333333	1.0	68	38	30	0.558823529411765	1.0	65	31	34	0.476923076923077	1.0	60	32	28	0.533333333333333	1.0	1.0	69	39	30	0.565217391304348	1.0	0.985507	65	31	34	0.476923076923077	1.0	1.0	chr1:35888430:C:+	AGO1	ENST00000373204.5	cds	protein_coding
1	3650033	3650034	-		chr1:3650034:C:-	80	11	69	0.1375	1.0	112	17	95	0.151785714285714	1.0	94	9	85	0.0957446808510638	1.0	81	11	70	0.135802469135802	1.0	0.987654	112	17	95	0.151785714285714	1.0	1.0	94	9	85	0.0957446808510638	1.0	1.0	chr1:3650034:C:-	WRAP73	ENST00000378322.7	5utr	protein_coding
1	37808097	37808098	+		chr1:37808098:C:+	395	52	343	0.131645569620253	1.0	480	72	408	0.15	1.0	355	45	310	0.126760563380282	1.0	406	58	348	0.142857142857143	1.0	0.972906	492	77	415	0.15650406504065	1.0	0.97561	362	48	314	0.132596685082873	1.0	0.980663	chr1:37808098:C:+	C1orf122	ENST00000373043.1	5utr	protein_coding
1	3884218	3884219	+		chr1:3884219:C:+	85	39	46	0.458823529411765	1.0	109	49	60	0.44954128440367	1.0	61	27	34	0.442622950819672	1.0	85	39	46	0.458823529411765	1.0	1.0	109	49	60	0.44954128440367	1.0	1.0	61	27	34	0.442622950819672	1.0	1.0	chr1:3884219:C:+	DFFB	ENST00000338895.7	3utr	protein_coding
1	3884219	3884220	+		chr1:3884220:C:+	87	69	18	0.793103448275862	1.0	108	83	25	0.768518518518518	1.0	60	46	14	0.766666666666667	1.0	87	69	18	0.793103448275862	1.0	1.0	108	83	25	0.768518518518518	1.0	1.0	60	46	14	0.766666666666667	1.0	1.0	chr1:3884220:C:+	DFFB	ENST00000338895.7	3utr	protein_coding
1	38991486	38991487	+		chr1:38991487:C:+	2475	275	2198	0.111200970481197	0.999191919191919	2013	250	1763	0.124192747143567	1.0	1672	177	1495	0.105861244019139	1.0	2477	275	2200	0.111111111111111	0.999192571659265	0.999193	2015	251	1764	0.124565756823821	1.0	0.999007	1674	177	1497	0.10573476702509	1.0	0.998805	chr1:38991487:C:+	AKIRIN1	ENST00000432648.7	cds	protein_coding
1	41028079	41028080	-		chr1:41028080:C:-	91	53	38	0.582417582417582	1.0	57	37	20	0.649122807017544	1.0	80	51	29	0.6375	1.0	91	53	38	0.582417582417582	1.0	1.0	57	37	20	0.649122807017544	1.0	1.0	80	51	29	0.6375	1.0	1.0	chr1:41028080:C:-	SCMH1	ENST00000372596.5	3utr	protein_coding
1	42766675	42766676	-		chr1:42766676:C:-	296	162	134	0.547297297297297	1.0	265	148	117	0.558490566037736	1.0	272	155	117	0.569852941176471	1.0	296	162	134	0.547297297297297	1.0	1.0	265	148	117	0.558490566037736	1.0	1.0	272	155	117	0.569852941176471	1.0	1.0	chr1:42766676:C:-	P3H1	ENST00000236040.8	cds	protein_coding
1	43453697	43453698	-		chr1:43453698:C:-	171	46	125	0.269005847953216	1.0	133	34	99	0.255639097744361	1.0	139	52	87	0.37410071942446	1.0	184	50	134	0.271739130434783	1.0	0.929348	145	37	108	0.255172413793103	1.0	0.917241	150	53	97	0.353333333333333	1.0	0.926667	chr1:43453698:C:-	HYI	ENST00000583037.5	cds	protein_coding
1	43591169	43591170	+		chr1:43591170:C:+	79	31	48	0.392405063291139	1.0	63	21	42	0.333333333333333	1.0	47	20	27	0.425531914893617	1.0	79	31	48	0.392405063291139	1.0	1.0	63	21	42	0.333333333333333	1.0	1.0	47	20	27	0.425531914893617	1.0	1.0	chr1:43591170:C:+	PTPRF	ENST00000359947.8	cds	protein_coding
1	43622128	43622129	+		chr1:43622129:C:+	106	12	94	0.113207547169811	1.0	106	9	97	0.0849056603773585	1.0	60	9	51	0.15	1.0	106	12	94	0.113207547169811	1.0	1.0	106	9	97	0.0849056603773585	1.0	1.0	60	9	51	0.15	1.0	1.0	chr1:43622129:C:+	PTPRF	ENST00000359947.8	3utr	protein_coding
1	43979418	43979419	+		chr1:43979419:C:+	63	9	54	0.142857142857143	1.0	53	9	44	0.169811320754717	1.0	43	8	35	0.186046511627907	1.0	66	12	54	0.181818181818182	1.0	0.954545	57	13	44	0.228070175438596	1.0	0.929825	47	12	35	0.25531914893617	1.0	0.914894	chr1:43979419:C:+	B4GALT2	ENST00000372324.5	5utr	protein_coding
1	43979419	43979420	+		chr1:43979420:C:+	77	9	68	0.116883116883117	1.0	66	10	56	0.151515151515152	1.0	53	8	45	0.150943396226415	1.0	81	13	68	0.160493827160494	1.0	0.950617	70	14	56	0.2	1.0	0.942857	58	13	45	0.224137931034483	1.0	0.913793	chr1:43979420:C:+	B4GALT2	ENST00000372324.5	5utr	protein_coding
1	44660230	44660231	-		chr1:44660231:C:-	103	12	91	0.116504854368932	1.0	105	10	95	0.0952380952380952	1.0	81	10	71	0.123456790123457	1.0	107	16	91	0.149532710280374	1.0	0.962617	111	16	95	0.144144144144144	1.0	0.945946	87	16	71	0.183908045977011	1.0	0.931034	chr1:44660231:C:-	TMEM53	ENST00000372237.7	cds	protein_coding
1	44753363	44753364	+		chr1:44753364:C:+	103	14	89	0.135922330097087	1.0	112	18	94	0.160714285714286	1.0	121	21	100	0.173553719008264	1.0	103	14	89	0.135922330097087	1.0	1.0	112	18	94	0.160714285714286	1.0	1.0	121	21	100	0.173553719008264	1.0	1.0	chr1:44753364:C:+	KIF2C	ENST00000372217.5	intronic	protein_coding
1	46023143	46023144	+		chr1:46023144:C:+	371	140	231	0.377358490566038	1.0	259	79	180	0.305019305019305	1.0	347	117	230	0.337175792507205	1.0	371	140	231	0.377358490566038	1.0	1.0	259	79	180	0.305019305019305	1.0	1.0	347	117	230	0.337175792507205	1.0	1.0	chr1:46023144:C:+	MAST2	ENST00000361297.6	intronic	protein_coding
1	46031401	46031402	+		chr1:46031402:C:+	192	30	162	0.15625	1.0	159	16	143	0.10062893081761	1.0	115	16	99	0.139130434782609	1.0	192	30	162	0.15625	1.0	1.0	159	16	143	0.10062893081761	1.0	1.0	115	16	99	0.139130434782609	1.0	1.0	chr1:46031402:C:+	MAST2	ENST00000361297.6	cds	protein_coding
1	46188857	46188858	-		chr1:46188858:C:-	281	32	248	0.114285714285714	0.99644128113879	265	21	244	0.0792452830188679	1.0	175	20	155	0.114285714285714	1.0	281	32	248	0.114285714285714	0.99644128113879	1.0	265	21	244	0.0792452830188679	1.0	1.0	177	21	156	0.11864406779661	1.0	0.988701	chr1:46188858:C:-	POMGNT1	ENST00000396420.7	3utr	protein_coding
1	46286301	46286302	-		chr1:46286302:C:-	637	70	567	0.10989010989011	1.0	533	57	476	0.106941838649156	1.0	528	65	463	0.123106060606061	1.0	637	70	567	0.10989010989011	1.0	1.0	533	57	476	0.106941838649156	1.0	1.0	528	65	463	0.123106060606061	1.0	1.0	chr1:46286302:C:-	LRRC41	ENST00000617190.4	cds	protein_coding
1	51236582	51236583	+		chr1:51236583:C:+	564	96	468	0.170212765957447	1.0	378	55	323	0.145502645502645	1.0	329	39	290	0.11854103343465	1.0	590	104	486	0.176271186440678	1.0	0.955932	397	57	340	0.143576826196474	1.0	0.952141	341	41	300	0.120234604105572	1.0	0.964809	chr1:51236583:C:+	RNF11	ENST00000242719.3	5utr	protein_coding
1	52355797	52355798	-		chr1:52355798:C:-	84	16	68	0.19047619047619	1.0	64	16	48	0.25	1.0	69	25	44	0.36231884057971	1.0	84	16	68	0.19047619047619	1.0	1.0	64	16	48	0.25	1.0	1.0	69	25	44	0.36231884057971	1.0	1.0	chr1:52355798:C:-	CC2D1B	ENST00000371586.6	cds	protein_coding
1	52824210	52824211	+		chr1:52824211:C:+	87	15	72	0.172413793103448	1.0	93	18	75	0.193548387096774	1.0	112	22	90	0.196428571428571	1.0	95	23	72	0.242105263157895	1.0	0.915789	95	20	75	0.210526315789474	1.0	0.978947	116	26	90	0.224137931034483	1.0	0.965517	chr1:52824211:C:+	ZYG11B	ENST00000294353.6	3utr	protein_coding
1	52824216	52824217	+		chr1:52824217:C:+	88	14	74	0.159090909090909	1.0	91	12	79	0.131868131868132	1.0	114	22	92	0.192982456140351	1.0	96	22	74	0.229166666666667	1.0	0.916667	93	14	79	0.150537634408602	1.0	0.978495	118	25	93	0.211864406779661	1.0	0.966102	chr1:52824217:C:+	ZYG11B	ENST00000294353.6	3utr	protein_coding
