chr	start	end	strand	label	Gene ID	Gene Symbol	Gene Type	m5C	C	m5C Level	m5C.1	C.1	m5C Level.1	Status_rep1	Status_rep2	Final Level	m5C.2	C.2	m5C Level.2	m5C.3	C.3	m5C Level.3	Status_rep1.1	Status_rep2.1	Final Level.1
1	631412	631413	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	19	62	0.234568	7	80	0.0804598	1	/	/	25	97	0.204918	10	91	0.0990099	1	/	/
1	631418	631419	-	1	ENSG00000230021	RP5-857K21.4	lincRNA	5	33	0.131579	3	40	0.0697674	1	/	/	7	42	0.142857	6	50	0.107143	1	1	0.12381
1	939303	939304	+	1	ENSG00000187634	SAMD11	mRNA	7	52	0.118644	4	49	0.0754717	1	/	/	6	29	0.171429	2	31	0.0606061	1	/	/
1	939304	939305	+	1	ENSG00000187634	SAMD11	mRNA	8	52	0.133333	4	49	0.0754717	1	/	/	6	29	0.171429	2	29	0.0645161	1	/	/
1	939313	939314	+	1	ENSG00000187634	SAMD11	mRNA	9	53	0.145161	4	48	0.0769231	1	/	/	4	31	0.114286	3	25	0.107143	/	/	/
1	939314	939315	+	1	ENSG00000187634	SAMD11	mRNA	9	53	0.145161	4	49	0.0754717	1	/	/	6	30	0.166667	3	25	0.107143	1	/	/
1	939315	939316	+	1	ENSG00000187634	SAMD11	mRNA	9	53	0.145161	4	49	0.0754717	1	/	/	4	32	0.111111	3	25	0.107143	/	/	/
1	939316	939317	+	1	ENSG00000187634	SAMD11	mRNA	9	53	0.145161	4	49	0.0754717	1	/	/	4	32	0.111111	3	25	0.107143	/	/	/
1	943805	943806	+	0	ENSG00000187634	SAMD11	mRNA	20	192	0.0943396	15	145	0.09375	/	/	/	15	142	0.0955414	23	191	0.107477	/	1	/
1	943918	943919	+	1	ENSG00000187634	SAMD11	mRNA	35	261	0.118243	22	202	0.0982143	1	/	/	23	205	0.100877	31	250	0.11032	1	1	0.10609
1	943919	943920	+	1	ENSG00000187634	SAMD11	mRNA	36	262	0.120805	23	207	0.1	1	1	0.111742	22	209	0.0952381	37	246	0.130742	/	1	/
1	943924	943925	+	1	ENSG00000187634	SAMD11	mRNA	32	286	0.100629	21	223	0.0860656	1	/	/	26	220	0.105691	32	263	0.108475	1	1	0.107209
1	944400	944401	-	0	ENSG00000188976	NOC2L	mRNA	3	69	0.0416667	3	66	0.0434783	/	/	/	6	49	0.109091	6	80	0.0697674	1	/	/
1	944474	944475	+	1	ENSG00000187634	SAMD11	mRNA	33	31	0.515625	27	13	0.675	1	1	0.576923	10	32	0.238095	11	21	0.34375	1	1	0.283784
1	944736	944737	-	1	ENSG00000188976	NOC2L	mRNA	251	1091	0.187034	225	1048	0.176748	1	1	0.182027	269	1300	0.171447	318	1746	0.15407	1	1	0.161574
1	944737	944738	-	1	ENSG00000188976	NOC2L	mRNA	256	1083	0.191187	228	1036	0.18038	1	1	0.185939	290	1269	0.186017	333	1721	0.162123	1	1	0.172433
1	944743	944744	-	1	ENSG00000188976	NOC2L	mRNA	236	1068	0.180982	208	1017	0.169796	1	1	0.175563	259	1273	0.16906	304	1680	0.153226	1	1	0.160125
1	944744	944745	-	1	ENSG00000188976	NOC2L	mRNA	199	1107	0.152374	191	1033	0.156046	1	1	0.15415	221	1306	0.144728	263	1725	0.132294	1	1	0.137696
1	944766	944767	-	1	ENSG00000188976	NOC2L	mRNA	180	943	0.160285	153	935	0.140625	1	1	0.150611	186	1156	0.138599	246	1475	0.14294	1	1	0.141038
1	944767	944768	-	1	ENSG00000188976	NOC2L	mRNA	172	949	0.153434	146	938	0.134686	1	1	0.144218	187	1158	0.139033	240	1480	0.139535	1	1	0.139315
1	944768	944769	-	1	ENSG00000188976	NOC2L	mRNA	168	949	0.150403	148	924	0.13806	1	1	0.144358	182	1153	0.13633	231	1472	0.135643	1	1	0.135945
1	944769	944770	-	1	ENSG00000188976	NOC2L	mRNA	164	947	0.147615	139	917	0.131629	1	1	0.139825	174	1146	0.131818	222	1455	0.132379	1	1	0.132132
1	945655	945656	-	1	ENSG00000188976	NOC2L	mRNA	5	30	0.142857	5	30	0.142857	1	1	0.142857	5	52	0.0877193	9	42	0.176471	/	1	/
1	956163	956164	+	0			intergenic	2	33	0.0571429	4	27	0.129032	/	/	/	3	27	0.1	7	42	0.142857	/	1	/
1	959010	959011	+	0			intergenic	8	4	0.666667	4	9	0.307692	/	/	/	7	7	0.5	21	9	0.7	/	1	/
1	959086	959087	-	0	ENSG00000188976	NOC2L	mRNA	4	48	0.0769231	13	18	0.419355	/	1	/	15	41	0.267857	8	41	0.163265	1	1	0.219048
1	959228	959229	+	1			intergenic	11	95	0.103774	6	74	0.075	1	/	/	9	96	0.0857143	17	84	0.168317	/	1	/
1	999155	999156	-	0	ENSG00000188290	HES4	mRNA	3	74	0.038961	2	63	0.0307692	/	/	/	9	60	0.130435	4	60	0.0625	1	/	/
1	1000335	1000336	-	1			intergenic	6	40	0.130435	4	24	0.142857	1	/	/	2	29	0.0645161	1	16	0.0588235	/	/	/
1	1013509	1013510	+	1	ENSG00000187608	ISG15	mRNA	34	272	0.111111	24	286	0.0774194	1	/	/	20	289	0.0647249	12	276	0.0416667	/	/	/
1	1014331	1014332	+	1	ENSG00000187608	ISG15	mRNA	1334	8223	0.139584	1188	7289	0.140144	1	1	0.139847	582	9316	0.0587998	648	11961	0.0513919	/	/	/
1	1020135	1020136	+	1	ENSG00000188157	AGRN	mRNA	27	210	0.113924	19	163	0.104396	1	1	0.109785	19	167	0.102151	20	174	0.103093	1	1	0.102632
1	1022334	1022335	+	0	ENSG00000188157	AGRN	mRNA	31	412	0.0699774	42	296	0.12426	/	1	/	47	281	0.143293	43	349	0.109694	1	1	0.125
1	1041161	1041162	+	1	ENSG00000188157	AGRN	mRNA	9	22	0.290323	5	10	0.333333	1	/	/	8	11	0.421053	5	8	0.384615	/	/	/
1	1041162	1041163	+	1	ENSG00000188157	AGRN	mRNA	41	29	0.585714	23	14	0.621622	1	1	0.598131	52	14	0.787879	34	17	0.666667	1	1	0.735043
1	1041163	1041164	+	1	ENSG00000188157	AGRN	mRNA	9	57	0.136364	3	34	0.0810811	1	/	/	10	31	0.243902	8	31	0.205128	1	1	0.225
1	1041166	1041167	+	1	ENSG00000188157	AGRN	mRNA	110	150	0.423077	71	96	0.42515	1	1	0.423888	117	106	0.524664	108	106	0.504673	1	1	0.514874
1	1041167	1041168	+	1	ENSG00000188157	AGRN	mRNA	52	242	0.176871	28	159	0.149733	1	1	0.16632	44	214	0.170543	57	190	0.230769	1	1	0.2
1	1041169	1041170	+	1	ENSG00000188157	AGRN	mRNA	36	257	0.122867	21	172	0.108808	1	1	0.117284	35	225	0.134615	45	205	0.18	1	1	0.156863
1	1041608	1041609	-	0			intergenic	3	10	0.230769	6	16	0.272727	/	/	/	6	14	0.3	12	23	0.342857	/	1	/
1	1043920	1043921	-	1			intergenic	5	30	0.142857	6	21	0.222222	1	/	/	1	30	0.0322581	9	34	0.209302	/	1	/
1	1044179	1044180	-	1			intergenic	6	28	0.176471	0	36	0.0	1	/	/	3	40	0.0697674	3	34	0.0810811	/	/	/
1	1046449	1046450	+	1	ENSG00000188157	AGRN	mRNA	25	160	0.135135	11	137	0.0743243	1	/	/	4	150	0.025974	2	129	0.0152672	/	/	/
1	1048883	1048884	+	1	ENSG00000188157	AGRN	mRNA	534	2505	0.175716	407	2244	0.153527	1	1	0.165378	184	2816	0.0613333	161	2590	0.0585242	/	/	/
1	1048972	1048973	-	0			intergenic	2	36	0.0526316	6	25	0.193548	/	1	/	1	28	0.0344828	2	33	0.0571429	/	/	/
1	1049225	1049226	+	0	ENSG00000188157	AGRN	mRNA	7	16	0.304348	9	18	0.333333	/	/	/	13	18	0.419355	16	15	0.516129	1	1	0.467742
1	1049228	1049229	+	0	ENSG00000188157	AGRN	mRNA	3	82	0.0352941	4	66	0.0571429	/	/	/	6	48	0.111111	4	64	0.0588235	1	/	/
1	1050421	1050422	+	0	ENSG00000188157	AGRN	mRNA	2	82	0.0238095	6	66	0.0833333	/	/	/	1	71	0.0138889	11	69	0.1375	/	1	/
1	1051734	1051735	-	0			intergenic	4	55	0.0677966	6	34	0.15	/	1	/	2	54	0.0357143	1	64	0.0153846	/	/	/
1	1051735	1051736	-	0			intergenic	12	13	0.48	5	15	0.25	/	/	/	6	22	0.214286	15	15	0.5	/	1	/
1	1053748	1053749	+	1	ENSG00000188157	AGRN	mRNA	7	39	0.152174	4	32	0.111111	1	/	/	5	28	0.151515	6	39	0.133333	1	1	0.141026
1	1053749	1053750	+	1	ENSG00000188157	AGRN	mRNA	15	24	0.384615	14	19	0.424242	1	1	0.402778	15	19	0.441176	21	25	0.456522	1	1	0.45
1	1217157	1217158	-	1	ENSG00000078808	SDF4	mRNA	32	13	0.711111	21	10	0.677419	1	1	0.697368	16	16	0.5	18	17	0.514286	1	1	0.507463
1	1217158	1217159	-	1	ENSG00000078808	SDF4	mRNA	23	35	0.396552	23	17	0.575	1	1	0.469388	16	31	0.340426	16	26	0.380952	1	1	0.359551
1	1217159	1217160	-	1	ENSG00000078808	SDF4	mRNA	22	42	0.34375	20	22	0.47619	1	1	0.396226	14	33	0.297872	17	21	0.447368	1	1	0.364706
1	1217161	1217162	-	1	ENSG00000078808	SDF4	mRNA	21	36	0.368421	18	24	0.428571	1	1	0.393939	16	32	0.333333	16	25	0.390244	1	1	0.359551
1	1217162	1217163	-	1	ENSG00000078808	SDF4	mRNA	22	34	0.392857	20	21	0.487805	1	1	0.43299	18	30	0.375	17	23	0.425	1	1	0.397727
1	1217163	1217164	-	1	ENSG00000078808	SDF4	mRNA	18	37	0.327273	18	22	0.45	1	1	0.378947	16	30	0.347826	14	23	0.378378	1	1	0.361446
1	1217164	1217165	-	1	ENSG00000078808	SDF4	mRNA	18	41	0.305085	18	23	0.439024	1	1	0.36	12	35	0.255319	15	23	0.394737	1	1	0.317647
1	1217167	1217168	-	1	ENSG00000078808	SDF4	mRNA	17	151	0.10119	14	152	0.0843373	1	/	/	6	148	0.038961	11	144	0.0709677	/	/	/
1	1218642	1218643	-	1	ENSG00000078808	SDF4	mRNA	5	31	0.138889	8	20	0.285714	1	/	/	5	26	0.16129	7	27	0.205882	1	1	0.184615
1	1222250	1222251	-	1	ENSG00000078808	SDF4	mRNA	6	30	0.166667	8	36	0.181818	1	1	0.175	4	37	0.097561	5	40	0.111111	/	1	/
1	1223246	1223247	+	1			intergenic	28	16	0.636364	23	7	0.766667	1	1	0.689189	34	9	0.790698	36	14	0.72	1	1	0.752688
1	1228824	1228825	-	1	ENSG00000078808	SDF4	mRNA	8	60	0.117647	1	34	0.0285714	1	/	/	2	57	0.0338983	3	64	0.0447761	/	/	/
1	1231568	1231569	-	1	ENSG00000078808	SDF4	mRNA	19	104	0.154472	13	89	0.127451	1	1	0.142222	9	121	0.0692308	11	133	0.0763889	/	/	/
1	1232264	1232265	+	0	ENSG00000176022	B3GALT6	mRNA	4	27	0.129032	7	36	0.162791	/	1	/	7	34	0.170732	5	27	0.15625	1	1	0.164384
1	1232265	1232266	+	0	ENSG00000176022	B3GALT6	mRNA	3	31	0.0882353	9	39	0.1875	/	1	/	5	35	0.125	5	32	0.135135	1	1	0.12987
1	1273816	1273817	-	0	ENSG00000160087	UBE2J2	mRNA	8	82	0.0888889	5	60	0.0769231	/	/	/	3	84	0.0344828	7	62	0.101449	/	1	/
1	1293525	1293526	-	1	ENSG00000131584	ACAP3	mRNA	223	490	0.312763	186	388	0.324042	1	1	0.317793	178	371	0.324226	201	440	0.313573	1	1	0.318487
1	1293526	1293527	-	1	ENSG00000131584	ACAP3	mRNA	274	441	0.383217	215	356	0.376532	1	1	0.380249	224	323	0.409506	240	401	0.374415	1	1	0.390572
1	1293527	1293528	-	1	ENSG00000131584	ACAP3	mRNA	280	428	0.39548	214	351	0.378761	1	1	0.38806	224	319	0.412523	242	394	0.380503	1	1	0.39525
1	1293530	1293531	-	1	ENSG00000131584	ACAP3	mRNA	281	420	0.400856	216	340	0.388489	1	1	0.395386	225	314	0.41744	243	388	0.385103	1	1	0.4
1	1293531	1293532	-	1	ENSG00000131584	ACAP3	mRNA	279	422	0.398003	215	342	0.385996	1	1	0.392687	227	311	0.421933	239	391	0.379365	1	1	0.398973
1	1293532	1293533	-	1	ENSG00000131584	ACAP3	mRNA	268	414	0.392962	212	340	0.384058	1	1	0.388979	218	309	0.413662	234	381	0.380488	1	1	0.395797
1	1293555	1293556	-	1	ENSG00000131584	ACAP3	mRNA	213	313	0.404943	159	277	0.364679	1	1	0.386694	153	237	0.392308	162	304	0.347639	1	1	0.367991
1	1293559	1293560	-	1	ENSG00000131584	ACAP3	mRNA	178	264	0.402715	147	221	0.399457	1	1	0.401235	132	180	0.423077	134	247	0.351706	1	1	0.383838
1	1293560	1293561	-	1	ENSG00000131584	ACAP3	mRNA	175	263	0.399543	144	220	0.395604	1	1	0.397756	131	181	0.419872	130	245	0.346667	1	1	0.379913
1	1300020	1300021	-	0	ENSG00000131584	ACAP3	mRNA	4	80	0.047619	8	63	0.112676	/	1	/	1	71	0.0138889	9	61	0.128571	/	1	/
1	1314331	1314332	-	1	ENSG00000127054	CPSF3L	mRNA	163	1339	0.108522	144	1308	0.0991736	1	/	/	78	1434	0.0515873	66	1490	0.0424165	/	/	/
1	1322975	1322976	+	1			intergenic	5	37	0.119048	6	51	0.105263	1	1	0.111111	4	58	0.0645161	8	60	0.117647	/	1	/
1	1335875	1335876	-	0	ENSG00000107404	DVL1	mRNA	4	89	0.0430108	12	88	0.12	/	1	/	3	92	0.0315789	8	117	0.064	/	/	/
1	1339590	1339591	+	0			intergenic	8	92	0.08	11	55	0.166667	/	1	/	3	84	0.0344828	2	72	0.027027	/	/	/
1	1342388	1342389	-	1	ENSG00000107404	DVL1	mRNA	37	182	0.16895	24	188	0.113208	1	1	0.141531	15	176	0.078534	19	226	0.077551	/	/	/
1	1353108	1353109	+	0			intergenic	6	65	0.084507	7	53	0.116667	/	1	/	3	53	0.0535714	5	71	0.0657895	/	/	/
1	1355584	1355585	+	1			intergenic	17	56	0.232877	25	61	0.290698	1	1	0.264151	11	64	0.146667	3	85	0.0340909	1	/	/
1	1387584	1387585	-	1	ENSG00000221978	CCNL2	mRNA	50	11	0.819672	52	4	0.928571	1	1	0.871795	27	5	0.84375	26	4	0.866667	1	1	0.854839
1	1399104	1399105	+	1			intergenic	34	12	0.73913	29	6	0.828571	1	1	0.777778	33	5	0.868421	36	7	0.837209	1	1	0.851852
1	1407211	1407212	-	1	ENSG00000242485	MRPL20	mRNA	10	67	0.12987	4	49	0.0754717	1	/	/	3	55	0.0517241	6	71	0.0779221	/	/	/
1	1460794	1460795	-	0			intergenic	0	18	0.0	0	18	0.0	/	/	/	8	25	0.242424	3	15	0.166667	1	/	/
1	1471797	1471798	+	1	ENSG00000160072	ATAD3B	mRNA	5	28	0.151515	0	32	0.0	1	/	/	0	38	0.0	0	22	0.0	/	/	/
1	1495673	1495674	+	1	ENSG00000160072	ATAD3B	mRNA	5	26	0.16129	1	8	0.111111	1	/	/	1	25	0.0384615	3	10	0.230769	/	/	/
1	1524377	1524378	-	1			intergenic	5	30	0.142857	3	19	0.136364	1	/	/	4	26	0.133333	4	25	0.137931	/	/	/
1	1542169	1542170	-	1	ENSG00000160075	SSU72	mRNA	6	24	0.2	3	29	0.09375	1	/	/	5	27	0.15625	7	26	0.212121	1	1	0.184615
1	1615743	1615744	-	0			intergenic	1	32	0.030303	2	27	0.0689655	/	/	/	5	26	0.16129	1	16	0.0588235	1	/	/
1	1629410	1629411	+	1	ENSG00000197530	MIB2	mRNA	8	72	0.1	8	53	0.131148	1	1	0.113475	11	53	0.171875	9	44	0.169811	1	1	0.17094
1	1629411	1629412	+	0	ENSG00000197530	MIB2	mRNA	8	73	0.0987654	9	52	0.147541	/	1	/	12	53	0.184615	9	44	0.169811	1	1	0.177966
1	1629412	1629413	+	1	ENSG00000197530	MIB2	mRNA	10	75	0.117647	8	56	0.125	1	1	0.120805	11	57	0.161765	9	51	0.15	1	1	0.15625
1	1629413	1629414	+	1	ENSG00000197530	MIB2	mRNA	13	74	0.149425	9	57	0.136364	1	1	0.143791	15	56	0.211268	15	49	0.234375	1	1	0.222222
1	1629417	1629418	+	1	ENSG00000197530	MIB2	mRNA	19	76	0.2	12	59	0.169014	1	1	0.186747	17	65	0.207317	19	49	0.279412	1	1	0.24
1	1629418	1629419	+	1	ENSG00000197530	MIB2	mRNA	19	76	0.2	15	57	0.208333	1	1	0.203593	17	66	0.204819	19	50	0.275362	1	1	0.236842
1	1629419	1629420	+	1	ENSG00000197530	MIB2	mRNA	24	77	0.237624	13	61	0.175676	1	1	0.211429	17	67	0.202381	21	50	0.295775	1	1	0.245161
1	1629420	1629421	+	1	ENSG00000197530	MIB2	mRNA	24	78	0.235294	14	62	0.184211	1	1	0.213483	16	71	0.183908	19	53	0.263889	1	1	0.220126
1	1629481	1629482	+	1	ENSG00000197530	MIB2	mRNA	34	153	0.181818	24	129	0.156863	1	1	0.170588	30	147	0.169492	32	136	0.190476	1	1	0.17971
1	1629482	1629483	+	1	ENSG00000197530	MIB2	mRNA	38	150	0.202128	24	128	0.157895	1	1	0.182353	30	147	0.169492	35	133	0.208333	1	1	0.188406
1	1629483	1629484	+	1	ENSG00000197530	MIB2	mRNA	37	151	0.196809	24	129	0.156863	1	1	0.178886	30	148	0.168539	34	134	0.202381	1	1	0.184971
1	1629488	1629489	+	1	ENSG00000197530	MIB2	mRNA	27	207	0.115385	13	180	0.0673575	1	/	/	24	194	0.110092	29	195	0.129464	1	1	0.11991
1	1629489	1629490	+	1	ENSG00000197530	MIB2	mRNA	25	208	0.107296	13	177	0.0684211	1	/	/	23	191	0.107477	29	189	0.133028	1	1	0.12037
1	1638548	1638549	-	1	ENSG00000248333	CDK11B	mRNA	12	75	0.137931	7	69	0.0921053	1	/	/	7	66	0.0958904	9	71	0.1125	/	1	/
1	1641724	1641725	+	0			intergenic	5	55	0.0833333	5	41	0.108696	/	1	/	5	57	0.0806452	1	54	0.0181818	/	/	/
1	1664121	1664122	-	1	ENSG00000189339	SLC35E2B	mRNA	5	38	0.116279	0	23	0.0	1	/	/	2	22	0.0833333	1	34	0.0285714	/	/	/
1	1664124	1664125	-	1	ENSG00000189339	SLC35E2B	mRNA	5	38	0.116279	0	24	0.0	1	/	/	2	20	0.0909091	1	32	0.030303	/	/	/
1	1664126	1664127	-	1	ENSG00000189339	SLC35E2B	mRNA	5	38	0.116279	0	23	0.0	1	/	/	1	18	0.0526316	1	30	0.0322581	/	/	/
1	1664128	1664129	-	1	ENSG00000189339	SLC35E2B	mRNA	6	35	0.146341	1	21	0.0454545	1	/	/	1	18	0.0526316	1	30	0.0322581	/	/	/
1	1664133	1664134	-	1	ENSG00000189339	SLC35E2B	mRNA	5	31	0.138889	1	18	0.0526316	1	/	/	2	16	0.111111	1	29	0.0333333	/	/	/
1	1664139	1664140	-	1	ENSG00000189339	SLC35E2B	mRNA	5	25	0.166667	0	19	0.0	1	/	/	4	12	0.25	1	20	0.047619	/	/	/
1	1692642	1692643	-	0	ENSG00000189339	SLC35E2B	mRNA	3	31	0.0882353	3	16	0.157895	/	/	/	5	33	0.131579	1	25	0.0384615	1	/	/
1	1699289	1699290	-	1			intergenic	15	106	0.123967	9	124	0.0676692	1	/	/	5	97	0.0490196	7	96	0.0679612	/	/	/
1	1699293	1699294	-	1			intergenic	13	61	0.175676	8	51	0.135593	1	1	0.157895	5	38	0.116279	7	36	0.162791	1	1	0.139535
1	1703854	1703855	-	0	ENSG00000008128	CDK11A	mRNA	5	100	0.047619	11	90	0.108911	/	1	/	0	96	0.0	3	83	0.0348837	/	/	/
1	1716409	1716410	+	1			intergenic	8	27	0.228571	7	15	0.318182	1	/	/	12	34	0.26087	7	33	0.175	1	1	0.22093
1	1751899	1751900	-	0	ENSG00000008130	NADK	mRNA	7	101	0.0648148	4	76	0.05	/	/	/	2	63	0.0307692	7	63	0.1	/	1	/
1	1751903	1751904	-	0	ENSG00000008130	NADK	mRNA	3	43	0.0652174	5	30	0.142857	/	1	/	5	28	0.151515	5	31	0.138889	1	1	0.144928
1	1817844	1817845	-	0	ENSG00000078369	GNB1	mRNA	5	58	0.0793651	1	54	0.0181818	/	/	/	2	76	0.025641	14	68	0.170732	/	1	/
1	2050584	2050585	+	1	ENSG00000067606	PRKCZ	mRNA	120	356	0.252101	110	326	0.252294	1	1	0.252193	75	381	0.164474	80	423	0.159046	1	1	0.161627
1	2228259	2228260	+	1			intergenic	10	29	0.25641	8	21	0.275862	1	/	/	6	29	0.171429	10	27	0.27027	1	1	0.222222
1	2228315	2228316	+	1			intergenic	9	74	0.108434	11	70	0.135802	1	1	0.121951	6	77	0.0722892	6	55	0.0983607	/	/	/
1	2228316	2228317	+	1			intergenic	21	62	0.253012	18	63	0.222222	1	1	0.237805	12	71	0.144578	14	47	0.229508	1	1	0.180556
1	2228317	2228318	+	1			intergenic	14	70	0.166667	17	64	0.209877	1	1	0.187879	13	69	0.158537	11	50	0.180328	1	1	0.167832
1	2228319	2228320	+	1			intergenic	22	10	0.6875	21	11	0.65625	1	1	0.671875	15	8	0.652174	16	10	0.615385	/	/	/
1	2228321	2228322	+	1			intergenic	21	16	0.567568	22	12	0.647059	1	1	0.605634	16	10	0.615385	18	14	0.5625	/	1	/
1	2228322	2228323	+	1			intergenic	23	15	0.605263	21	15	0.583333	1	1	0.594595	15	11	0.576923	16	15	0.516129	/	1	/
1	2228324	2228325	+	1			intergenic	19	22	0.463415	20	16	0.555556	1	1	0.506494	14	16	0.466667	17	15	0.53125	1	1	0.5
1	2228325	2228326	+	1			intergenic	23	20	0.534884	23	13	0.638889	1	1	0.582278	16	15	0.516129	15	16	0.483871	1	1	0.5
1	2228326	2228327	+	1			intergenic	23	19	0.547619	21	12	0.636364	1	1	0.586667	16	11	0.592593	15	14	0.517241	/	/	/
1	2228390	2228391	+	0			intergenic	5	110	0.0434783	12	101	0.106195	/	1	/	9	114	0.0731707	7	102	0.0642202	/	/	/
1	2228393	2228394	+	0			intergenic	8	108	0.0689655	11	99	0.1	/	1	/	9	113	0.0737705	9	100	0.0825688	/	/	/
1	2228395	2228396	+	0			intergenic	9	107	0.0775862	12	101	0.106195	/	1	/	9	113	0.0737705	13	98	0.117117	/	1	/
1	2321502	2321503	-	0	ENSG00000116151	MORN1	mRNA	1	26	0.037037	2	30	0.0625	/	/	/	1	31	0.03125	6	35	0.146341	/	1	/
1	2399446	2399447	+	0	ENSG00000157916	RER1	mRNA	4	50	0.0740741	3	42	0.0666667	/	/	/	6	26	0.1875	5	29	0.147059	1	1	0.166667
1	2402254	2402255	+	1	ENSG00000157916	RER1	mRNA	18	76	0.191489	2	43	0.0444444	1	/	/	1	67	0.0147059	2	66	0.0294118	/	/	/
1	2521793	2521794	-	0	ENSG00000157881	PANK4	mRNA	6	80	0.0697674	5	50	0.0909091	/	/	/	6	48	0.111111	1	43	0.0227273	1	/	/
1	3514616	3514617	-	1	ENSG00000162591	MEGF6	mRNA	28	90	0.237288	16	83	0.161616	1	1	0.202765	2	48	0.04	5	64	0.0724638	/	/	/
1	3650033	3650034	-	1	ENSG00000116213	WRAP73	mRNA	44	104	0.297297	36	87	0.292683	1	1	0.295203	10	121	0.0763359	12	110	0.0983607	/	/	/
1	3737751	3737752	-	0	ENSG00000227372	TP73-AS1	antisense	2	46	0.0416667	9	40	0.183673	/	1	/	4	34	0.105263	5	33	0.131579	/	1	/
