chr	start	end	strand	label	gene_type	gene_name	gene_pos	unconverted	converted	ratio
1	46316772	46316773	+		protein_coding	ENSG00000173660(UQCRH)	13076	12	339	0.034188034
1	46634733	46634734	-		protein_coding	ENSG00000123472(ATPAF1)	39134	11	299	0.035483871
1	46668111	46668112	-		protein_coding	ENSG00000123472(ATPAF1)	5756	11	392	0.027295285
1	51236582	51236583	+		protein_coding	ENSG00000123091(RNF11)	311	8	171	0.044692737
1	51251138	51251139	-		pseudogene	ENSG00000233406	334	26	55	0.320987654
1	52355797	52355798	-		protein_coding	ENSG00000154222(CC2D1B)	10408	11	296	0.035830619
1	54205406	54205407	+		protein_coding	ENSG00000116221(MRPL37)	21367	23	1455	0.01556157
1	54212649	54212650	+		protein_coding	ENSG00000116221(MRPL37)	28610	261	2423	0.097242921
1	54849929	54849930	-		protein_coding	ENSG00000116133(DHCR24)	37266	17	362	0.044854881
1	55103887	55103888	-		protein_coding	ENSG00000162402(USP24)	111491	11	138	0.073825503
1	62162492	62162493	+		protein_coding	ENSG00000132849(PATJ)	420017	12	39	0.235294118
1	64745281	64745282	+		protein_coding	ENSG00000162437(RAVER2)	208	13	198	0.061611374
1	68126179	68126180	-		protein_coding	ENSG00000116729(WLS)	106941	32	867	0.035595106
1	68126195	68126196	-		protein_coding	ENSG00000116729(WLS)	106925	21	785	0.026054591
1	68126305	68126306	-		protein_coding	ENSG00000116729(WLS)	106815	48	1073	0.042818912
1	70439104	70439105	+		protein_coding	ENSG00000116761(CTH)	27888	137	2065	0.062216167
1	75740019	75740020	+		protein_coding	ENSG00000117054(ACADM)	15590	33	2741	0.011896179
1	85048478	85048479	-		protein_coding	ENSG00000055732(MCOLN3)	22	7	23	0.233333333
1	86735159	86735160	+		protein_coding	ENSG00000097033(SH3GLB1)	30591	19	739	0.025065963
1	92841915	92841916	+		protein_coding	ENSG00000122406(RPL5)	9904	21	2054	0.010120482
1	92841918	92841919	+		protein_coding	ENSG00000122406(RPL5)	9907	30	1518	0.019379845
1	93346633	93346634	+		protein_coding	ENSG00000117505(DR1)	728	18	836	0.021077283
1	96448225	96448226	+		pseudogene	ENSG00000228502(EEF1A1P11)	1297	5	8	0.384615385
1	100268283	100268284	+		protein_coding	ENSG00000137996(RTCA)	2069	22	1643	0.013213213
1	108637794	108637795	+		protein_coding	ENSG00000162636(FAM102B)	77707	10	267	0.036101083
1	109100507	109100508	+		lncRNA	ENSG00000270066	316	6	8	0.428571429
1	109310950	109310951	-		protein_coding	ENSG00000134243(SORT1)	86968	6	27	0.181818182
1	109737697	109737698	-		protein_coding	ENSG00000134202(GSTM3)	3341	25	281	0.081699346
1	111438704	111438705	-		lncRNA	ENSG00000243960	2660	7	39	0.152173913
1	111443903	111443904	-		protein_coding	ENSG00000116455(WDR77)	5353	129	2121	0.057333333
1	111447109	111447110	-		protein_coding	ENSG00000116455(WDR77)	2147	57	1511	0.036352041
1	111448683	111448684	-		protein_coding	ENSG00000116455(WDR77)	573	43	1337	0.03115942
1	111461203	111461204	+		protein_coding	ENSG00000116459(ATP5PB)	12341	13	755	0.016927083
1	112890890	112890891	-		pseudogene	ENSG00000228040	32	4	5	0.444444444
1	119179211	119179212	+		lncRNA	ENSG00000231365(WARS2-AS1)	38822	6	80	0.069767442
1	119496662	119496663	-		pseudogene	ENSG00000229570(GAPDHP58)	179	4	5	0.444444444
1	119742976	119742977	+		protein_coding	ENSG00000092621(PHGDH)	94567	44	6510	0.006713457
1	119919487	119919488	-		protein_coding	ENSG00000134250(NOTCH2)	181292	14	283	0.047138047
1	145837537	145837538	+		protein_coding	ENSG00000186141(POLR3C)	13486	44	623	0.065967016
1	150268462	150268463	-		protein_coding	ENSG00000117362(APH1A)	1118	5	14	0.263157895
1	150308173	150308174	+		protein_coding	ENSG00000266472(MRPS21)	14314	60	3063	0.019212296
1	150622209	150622210	-		protein_coding	ENSG00000143420(ENSA)	7403	23	2398	0.009500207
1	150646435	150646436	-		protein_coding	ENSG00000143457(GOLPH3L)	50719	34	299	0.102102102
1	150995965	150995966	-		Other features	.	.	5	57	0.080645161
1	151028932	151028933	+		protein_coding	ENSG00000143363(PRUNE1)	20514	8	169	0.04519774
1	151307585	151307586	-		protein_coding	ENSG00000143393(PI4KB)	20130	13	403	0.03125
1	151340933	151340934	-		protein_coding	ENSG00000143390(RFX5)	6393	143	1036	0.121289228
1	151776097	151776098	-		protein_coding	ENSG00000182134(TDRKH)	15319	17	243	0.065384615
1	153634005	153634006	-		lncRNA	ENSG00000272030	392	19	203	0.085585586
1	153752383	153752384	+		protein_coding	ENSG00000143624(INTS3)	24335	34	178	0.160377358
1	153772658	153772659	+		protein_coding	ENSG00000143624(INTS3)	44610	116	630	0.155495979
1	153942986	153942987	-		protein_coding	ENSG00000198837(DENND4B)	3732	5	40	0.111111111
1	153977502	153977503	-		protein_coding	ENSG00000143543(JTB)	172	23	1431	0.015818432
1	154989653	154989654	+		protein_coding	ENSG00000160688(FLAD1)	6317	11	461	0.023305085
1	155057681	155057682	+		protein_coding	ENSG00000143537(ADAM15)	7117	39	573	0.06372549
1	155186034	155186035	-		protein_coding	ENSG00000185499(MUC1)	6882	3	3	0.5
1	155205120	155205121	-		protein_coding	ENSG00000169231(THBS3)	3931	11	46	0.192982456
1	155250288	155250289	-		protein_coding	ENSG00000160767(FAM189B)	5195	18	322	0.052941176
1	155288380	155288381	+		protein_coding	ENSG00000143630(HCN3)	10919	9	70	0.113924051
1	156009614	156009615	-		protein_coding	ENSG00000163479(SSR2)	11337	14	548	0.024911032
1	156263499	156263500	-		protein_coding	ENSG00000198952(SMG5)	19326	19	1305	0.014350453
1	156317504	156317505	-		protein_coding	ENSG00000163468(CCT3)	50369	121	3136	0.037150752
1	156533005	156533006	-		protein_coding	ENSG00000183856(IQGAP3)	39599	14	675	0.020319303
1	156670647	156670648	-		protein_coding	ENSG00000132688(NES)	6760	3	3	0.5
1	156743365	156743366	-		protein_coding	ENSG00000143321(HDGF)	23560	247	821	0.231273408
1	160426897	160426898	+		protein_coding	ENSG00000162738(VANGL2)	26335	9	197	0.04368932
1	160426898	160426899	+		protein_coding	ENSG00000162738(VANGL2)	26336	11	192	0.054187192
1	160997320	160997321	-		protein_coding	ENSG00000158769(F11R)	24023	23	259	0.081560284
1	165662359	165662360	-		protein_coding	ENSG00000143149(ALDH9A1)	36203	33	241	0.120437956
1	165662573	165662574	-		protein_coding	ENSG00000143149(ALDH9A1)	35989	13	298	0.041800643
1	165827618	165827619	+		protein_coding	ENSG00000143179(UCK2)	6	23	502	0.043809524
1	167553725	167553726	-		protein_coding	ENSG00000143162(CREG1)	80	12	521	0.022514071
1	167790602	167790603	+		protein_coding	ENSG00000197965(MPZL1)	69412	23	473	0.046370968
1	180154980	180154981	+		protein_coding	ENSG00000116260(QSOX1)	113	23	133	0.147435897
1	182600182	182600183	-		protein_coding	ENSG00000143333(RGS16)	4207	13	291	0.042763158
1	183124826	183124827	+		protein_coding	ENSG00000135862(LAMC1)	101408	14	575	0.0237691
1	183533766	183533767	+		protein_coding	ENSG00000116698(SMG7)	61552	202	161	0.556473829
1	184806007	184806008	-		protein_coding	ENSG00000135842(NIBAN1)	168501	5	52	0.087719298
1	194189297	194189298	+		pseudogene	ENSG00000233057(EEF1A1P14)	332	5	8	0.384615385
1	198157071	198157072	+		protein_coding	ENSG00000151414(NEK7)	79	9	114	0.073170732
1	198157072	198157073	+		protein_coding	ENSG00000151414(NEK7)	80	66	59	0.528
1	201982979	201982980	+		protein_coding	ENSG00000176393(RNPEP)	609	11	550	0.019607843
1	202005892	202005893	+		protein_coding	ENSG00000176393(RNPEP)	23522	23	556	0.039723661
1	202879229	202879230	-		protein_coding	ENSG00000183155(RABIF)	9920	39	81	0.325
1	206733543	206733544	+		protein_coding	ENSG00000162889(MAPKAPK2)	48640	15	224	0.062761506
1	208042249	208042250	-		protein_coding	ENSG00000076356(PLXNA2)	202135	5	28	0.151515152
1	211745625	211745626	-		protein_coding	ENSG00000123684(LPGAT1)	85138	15	249	0.056818182
1	212445952	212445953	+		protein_coding	ENSG00000117691(NENF)	13034	42	3044	0.013609851
1	214281205	214281206	+		protein_coding	ENSG00000143499(SMYD2)	105	9	115	0.072580645
1	224192556	224192557	+		protein_coding	ENSG00000143753(DEGS1)	16802	11	556	0.019400353
1	224227621	224227622	-		protein_coding	ENSG00000143748(NVL)	102568	126	664	0.159493671
1	225495455	225495456	-		protein_coding	ENSG00000154380(ENAH)	157687	7	157	0.042682927
1	225495477	225495478	-		protein_coding	ENSG00000154380(ENAH)	157665	9	98	0.08411215
1	226361983	226361984	-		protein_coding	ENSG00000143799(PARP1)	46171	140	2745	0.048526863
1	226370457	226370458	-		protein_coding	ENSG00000143799(PARP1)	37697	47	4747	0.009803922
1	226383081	226383082	-		protein_coding	ENSG00000143799(PARP1)	25073	35	1157	0.029362416
1	228097974	228097975	+		protein_coding	ENSG00000143761(ARF1)	15268	52	6105	0.008445672
1	228098910	228098911	+		protein_coding	ENSG00000143761(ARF1)	16204	33	3400	0.009612584
1	228493938	228493939	+		protein_coding	ENSG00000168159(RNF187)	6558	28	1313	0.02087994
1	229490007	229490008	-		protein_coding	ENSG00000069248(NUP133)	18334	126	1159	0.098054475
1	230280273	230280274	+		protein_coding	ENSG00000143641(GALNT2)	222285	8	221	0.034934498
1	230425842	230425843	-		protein_coding	ENSG00000177614(PGBD5)	490	7	154	0.043478261
1	230906461	230906462	-		protein_coding	ENSG00000143643(TTC13)	72414	14	112	0.111111111
1	231224284	231224285	-		protein_coding	ENSG00000143633(C1orf131)	16903	15	337	0.042613636
1	231262770	231262771	+		protein_coding	ENSG00000116906(GNPAT)	21565	9	179	0.04787234
1	233289383	233289384	-		protein_coding	ENSG00000135749(PCNX2)	6342	6	17	0.260869565
1	235504213	235504214	-		protein_coding	ENSG00000162885(B3GALNT2)	239	15	195	0.071428571
1	235550265	235550266	-		protein_coding	ENSG00000168243(GNG4)	100489	23	72	0.242105263
1	235551075	235551076	-		protein_coding	ENSG00000168243(GNG4)	99679	9	201	0.042857143
1	235649978	235649979	-		protein_coding	ENSG00000168243(GNG4)	776	16	29	0.355555556
1	236483511	236483512	+		protein_coding	ENSG00000186197(EDARADD)	135256	6	96	0.058823529
1	241504122	241504123	-		protein_coding	ENSG00000091483(FH)	15677	16	1204	0.013114754
1	241848299	241848300	+		protein_coding	ENSG00000174371(EXO1)	334	30	156	0.161290323
1	242975272	242975273	+		Other features	.	.	7	6	0.538461538
1	248848473	248848474	+		protein_coding	ENSG00000171161(ZNF672)	10265	15	167	0.082417582
1	248850172	248850173	-		protein_coding	ENSG00000171163(ZNF692)	8972	35	99	0.26119403
10	809754	809755	-		protein_coding	ENSG00000107929(LARP4B)	122067	34	251	0.119298246
10	812877	812878	-		protein_coding	ENSG00000107929(LARP4B)	118944	12	483	0.024242424
10	5639466	5639467	-		protein_coding	ENSG00000196372(ASB13)	27129	11	195	0.053398058
10	5853735	5853736	-		Other features	.	.	11	16	0.407407407
10	6110087	6110088	+		protein_coding	ENSG00000134453(RBM17)	21055	36	704	0.048648649
10	12235092	12235093	+		protein_coding	ENSG00000151465(CDC123)	39129	22	1937	0.011230219
10	13499784	13499785	-		protein_coding	ENSG00000165626(BEND7)	29230	9	79	0.102272727
10	14520307	14520308	-		protein_coding	ENSG00000065809(FAM107B)	254590	46	88	0.343283582
10	15841440	15841441	-		protein_coding	ENSG00000148481(MINDY3)	19067	23	951	0.023613963
10	22320302	22320303	+		protein_coding	ENSG00000148444(COMMD3)	3918	7	147	0.045454545
10	22537266	22537267	-		protein_coding	ENSG00000150867(PIP4K2A)	177312	11	346	0.030812325
10	32056116	32056117	-		protein_coding	ENSG00000170759(KIF5B)	309	96	506	0.159468439
10	34815097	34815098	-		protein_coding	ENSG00000148498(PARD3)	228	8	56	0.125
10	38079903	38079904	-		Other features	.	.	38	2720	0.0137781
10	38119836	38119837	+		protein_coding	ENSG00000075407(ZNF37A)	25504	8	173	0.044198895
10	56358710	56358711	-		protein_coding	ENSG00000122952(ZWINT)	2563	191	1592	0.107122827
10	68910338	68910339	+		protein_coding	ENSG00000107625(DDX50)	9054	12	191	0.0591133
10	68934357	68934358	+		protein_coding	ENSG00000107625(DDX50)	33073	18	678	0.025862069
10	68984979	68984980	+		protein_coding	ENSG00000165732(DDX21)	28846	31	2352	0.013008812
10	69632962	69632963	+		protein_coding	ENSG00000171224(FAM241B)	2717	11	191	0.054455446
10	70146618	70146619	-		protein_coding	ENSG00000156521(TYSND1)	82	16	125	0.113475177
10	70530047	70530048	+		protein_coding	ENSG00000107719(PALD1)	51282	12	75	0.137931034
10	70816009	70816010	+		protein_coding	ENSG00000166224(SGPL1)	106	5	15	0.25
10	71300979	71300980	+		protein_coding	ENSG00000107731(UNC5B)	88411	32	268	0.106666667
10	71301044	71301045	+		protein_coding	ENSG00000107731(UNC5B)	88476	29	222	0.115537849
10	74107253	74107254	+		protein_coding	ENSG00000035403(VCL)	112062	20	614	0.031545741
10	74371533	74371534	+		protein_coding	ENSG00000156110(ADK)	220333	3	4	0.428571429
10	75399408	75399409	-		protein_coding	ENSG00000165655(ZNF503)	2356	34	1889	0.017680707
10	78022159	78022160	-		protein_coding	ENSG00000148606(POLR3A)	7363	11	281	0.037671233
10	78040695	78040696	+		protein_coding	ENSG00000138326(RPS24)	6937	93	4662	0.01955836
10	84560543	84560544	+		pseudogene	ENSG00000178429(RPS3AP5)	102	7	22	0.24137931
10	88991055	88991056	-		lncRNA	ENSG00000286116	3194	24	204	0.105263158
10	89644847	89644848	-		protein_coding	ENSG00000152782(PANK1)	395	5	45	0.1
10	91462739	91462740	+		protein_coding	ENSG00000165338(HECTD2)	53461	6	50	0.107142857
10	92597198	92597199	-		pseudogene	ENSG00000184111(RPL11P4)	89	9	96	0.085714286
10	94581497	94581498	+		protein_coding	ENSG00000119969(HELLS)	36170	24	360	0.0625
10	95263928	95263929	-		protein_coding	ENSG00000107438(PDLIM1)	27084	12	479	0.024439919
10	97334125	97334126	-		protein_coding	ENSG00000181274(FRAT2)	604	7	91	0.071428571
10	97498274	97498275	-		protein_coding	ENSG00000155229(MMS19)	520	127	244	0.342318059
10	97717658	97717659	+		protein_coding	ENSG00000155254(MARVELD1)	4487	9	236	0.036734694
10	100364290	100364291	+		protein_coding	ENSG00000099194(SCD)	17059	17	594	0.027823241
10	101003881	101003882	+		protein_coding	ENSG00000107816(LZTS2)	7265	9	21	0.3
10	101030202	101030203	-		protein_coding	ENSG00000186862(PDZD7)	2093	14	16	0.466666667
10	101066274	101066275	+		protein_coding	ENSG00000107821(KAZALD1)	4287	4	14	0.222222222
10	101238571	101238572	+		lncRNA	ENSG00000227128(LBX1-AS1)	8996	9	33	0.214285714
10	102375536	102375537	+		protein_coding	ENSG00000107862(GBF1)	130167	21	482	0.041749503
10	102455624	102455625	+		lncRNA	ENSG00000269609(C10orf95-AS1)	5810	34	142	0.193181818
10	102644340	102644341	+		Other features	.	.	7	121	0.0546875
10	102870119	102870120	+		protein_coding	ENSG00000214435(AS3MT)	651	29	264	0.098976109
10	103368435	103368436	+		protein_coding	ENSG00000148835(TAF5)	471	9	120	0.069767442
10	109882553	109882554	-		protein_coding	ENSG00000108039(XPNPEP1)	41000	28	915	0.029692471
10	109886324	109886325	-		protein_coding	ENSG00000108039(XPNPEP1)	37229	20	815	0.023952096
10	110134597	110134598	+		protein_coding	ENSG00000148700(ADD3)	138231	22	547	0.038664323
10	110207788	110207789	+		protein_coding	ENSG00000119950(MXI1)	185	8	145	0.052287582
10	123155057	123155058	+		protein_coding	ENSG00000154473(BUB3)	657	607	2075	0.226323639
10	125049383	125049384	+		Other features	.	.	5	0	1.0
10	125788962	125788963	-		protein_coding	ENSG00000188690(UROS)	34296	30	1439	0.020422056
10	127433340	127433341	+		protein_coding	ENSG00000150760(DOCK1)	527933	8	72	0.1
10	127451920	127451921	+		protein_coding	ENSG00000150760(DOCK1)	546513	10	177	0.053475936
10	127524655	127524656	+		Other features	.	.	4	8	0.333333333
10	130145245	130145246	+		protein_coding	ENSG00000108010(GLRX3)	8856	28	1648	0.016706444
10	132228010	132228011	-		protein_coding	ENSG00000165752(STK32C)	103837	32	166	0.161616162
10	132307786	132307787	-		protein_coding	ENSG00000165752(STK32C)	24061	10	48	0.172413793
10	133281376	133281377	-		protein_coding	ENSG00000130640(TUBGCP2)	37447	103	988	0.094408799
10	133285158	133285159	-		protein_coding	ENSG00000130640(TUBGCP2)	33665	32	1522	0.020592021
10	133292612	133292613	-		protein_coding	ENSG00000130640(TUBGCP2)	26211	23	818	0.027348395
10	133300087	133300088	-		protein_coding	ENSG00000130640(TUBGCP2)	18736	22	763	0.028025478
10	133308936	133308937	+		protein_coding	ENSG00000198546(ZNF511)	24	11	201	0.051886792
10	133355495	133355496	-		protein_coding	ENSG00000148803(FUOM)	2530	38	166	0.18627451
10	133362750	133362751	-		protein_coding	ENSG00000127884(ECHS1)	10604	197	1255	0.135674931
10	133394268	133394269	+		protein_coding	ENSG00000148824(MTG1)	176	29	365	0.073604061
11	215107	215108	+		protein_coding	ENSG00000177963(RIC8A)	7401	8	70	0.102564103
11	295099	295100	+		protein_coding	ENSG00000142102(PGGHG)	5975	6	89	0.063157895
11	764333	764334	+		protein_coding	ENSG00000177156(TALDO1)	16920	117	2282	0.048770321
11	778496	778497	+		lncRNA	ENSG00000255284(GATD1-DT)	924	11	52	0.174603175
11	810293	810294	+		protein_coding	ENSG00000177600(RPLP2)	330	202	25670	0.007807669
11	821027	821028	+		protein_coding	ENSG00000177666(PNPLA2)	2115	6	12	0.333333333
11	903092	903093	-		protein_coding	ENSG00000177830(CHID1)	11966	21	868	0.023622047
11	1390084	1390085	+		protein_coding	ENSG00000174672(BRSK2)	187	9	80	0.101123596
11	1752918	1752919	-		protein_coding	ENSG00000117984(CTSD)	11655	18	367	0.046753247
11	1753179	1753180	-		protein_coding	ENSG00000117984(CTSD)	11394	54	629	0.079062958
11	1753292	1753293	-		protein_coding	ENSG00000117984(CTSD)	11281	42	972	0.041420118
11	1759549	1759550	-		protein_coding	ENSG00000250644	4405	324	552	0.369863014
11	1759567	1759568	-		protein_coding	ENSG00000250644	4387	12	590	0.019933555
11	1763850	1763851	-		protein_coding	ENSG00000250644	104	24	857	0.027241771
11	3015819	3015820	-		protein_coding	ENSG00000110619(CARS1)	41794	36	555	0.060913706
11	3827133	3827134	-		protein_coding	ENSG00000177105(RHOG)	13826	114	67	0.629834254
11	4092691	4092692	+		protein_coding	ENSG00000167323(STIM1)	238166	18	253	0.066420664
11	6478042	6478043	-		protein_coding	ENSG00000132254(ARFIP2)	3437	30	1921	0.01537673
11	6611191	6611192	-		protein_coding	ENSG00000166337(TAF10)	1348	30	3140	0.009463722
11	6618907	6618908	-		protein_coding	ENSG00000166340(TPP1)	541	15	227	0.061983471
11	8965113	8965114	+		lncRNA	ENSG00000254860(TMEM9B-AS1)	613	14	48	0.225806452
11	9139397	9139398	-		protein_coding	ENSG00000184014(DENND5A)	126562	14	463	0.029350105
11	9732567	9732568	+		protein_coding	ENSG00000133789(SWAP70)	68492	15	362	0.039787798
11	10510014	10510015	-		Other features	.	.	3	3	0.5
11	14358902	14358903	-		protein_coding	ENSG00000133818(RRAS2)	5604	5	54	0.084745763
11	14358989	14358990	-		protein_coding	ENSG00000133818(RRAS2)	5517	21	440	0.045553145
